,m/z,I,S/N
5460,332.68164,2799333,5.2
5461,332.68593,2397899,4.1
5462,333.01015,2541931,4.5
5463,333.02597,14679778,36.8
5464,333.03722,4122419,8.7
5465,333.0624,37590296,97.9
5466,333.06573,6991773,16.3
5467,333.07358,16578856,41.9
5468,333.07545,7738667,18.3
5469,333.08056,2401634,4.1
5470,333.08359,5430711,12.2
5471,333.09324,7636421,18.0
5472,333.09633,3536906,7.1
5473,333.09881,58622285,153.9
5474,333.10215,19098194,48.6
5475,333.10789,2636251,4.7
5476,333.11004,16454494,41.5
5477,333.11185,16340065,41.2
5478,333.11798,2589770,4.6
5479,333.11985,10101228,24.6
5480,333.12973,3514235,7.1
5481,333.13296,4738560,10.3
5482,333.13521,65378691,171.9
5483,333.13708,3411078,6.8
5484,333.13857,14378632,36.0
5485,333.14664,3470964,6.9
5486,333.14831,5734422,13.0
5487,333.15073,2460794,4.3
5488,333.15641,4140258,8.7
5489,333.1703,2858551,5.3
5490,333.17157,32952249,85.5
5491,333.20793,6609390,15.3
5492,333.62295,2666624,4.8
5493,333.69131,2469237,4.3
5494,333.76376,2416127,4.1
5495,333.97329,2462322,4.3
5496,334.02103,4108631,8.6
5497,334.02421,2864412,5.3
5498,334.02897,2935331,5.5
5499,334.04229,2498998,4.4
5500,334.05757,12053197,29.8
5501,334.06566,6778329,15.8
5502,334.0767,3026985,5.8
5503,334.09395,18933250,48.1
5504,334.10204,12959758,32.2
5505,334.10522,5615954,12.7
5506,334.11324,3704414,7.6
5507,334.11487,3662528,7.5
5508,334.12327,2960813,5.6
5509,334.1303,10497207,25.7
5510,334.13836,13247043,33.0
5511,334.14136,3003655,5.7
5512,334.14867,2537682,4.5
5513,334.16665,3543596,7.1
5514,334.17102,2635699,4.7
5515,334.17485,8013432,19.0
5516,334.2112,3192685,6.2
5517,334.63372,2480948,4.3
5518,334.63973,2523677,4.4
5519,334.82832,2418222,4.1
5520,334.88367,3040670,5.8
5521,334.90134,2510104,4.4
5522,334.93905,15395022,38.7
5523,335.00499,3764781,7.7
5524,335.02367,3573448,7.2
5525,335.04146,29234786,75.6
5526,335.05259,6365170,14.7
5527,335.06088,2723358,4.9
5528,335.07785,77829271,205.1
5529,335.08114,10476827,25.6
5530,335.08911,22561447,57.8
5531,335.091,7494826,17.7
5532,335.09726,3517427,7.1
5533,335.10187,2460793,4.2
5534,335.10877,5670851,12.8
5535,335.1117,6073416,13.9
5536,335.11425,130079947,344.4
5537,335.11755,12181968,30.2
5538,335.12548,12442587,30.8
5539,335.12722,13255646,33.0
5540,335.12942,2385345,4.0
5541,335.14505,3382392,6.7
5542,335.14842,3767165,7.7
5543,335.15065,94121216,248.5
5544,335.15403,5705733,12.9
5545,335.16379,3009619,5.7
5546,335.18704,27509556,71.0
5547,335.22344,3421033,6.8
5548,335.23983,2507648,4.4
5549,335.29153,2475931,4.3
5550,335.33598,2974091,5.6
5551,335.44818,2372844,4.0
5552,335.65211,2394737,4.0
5553,335.74078,3085136,5.8
5554,335.76723,2670806,4.7
5555,335.8117,2535893,4.4
5556,335.93871,2757739,5.0
5557,336.03679,5877943,13.2
5558,336.04187,2615166,4.6
5559,336.04501,3903555,8.0
5560,336.05558,3135698,6.0
5561,336.07317,21477419,54.2
5562,336.08136,11325750,27.5
5563,336.08416,4136954,8.6
5564,336.09258,3836678,7.8
5565,336.10957,19497055,49.0
5566,336.11301,2541444,4.4
5567,336.11765,23693418,60.0
5568,336.12081,2733423,4.9
5569,336.13061,2526013,4.4
5570,336.14597,8788754,20.8
5571,336.14829,2454454,4.2
5572,336.15407,19171230,48.1
5573,336.18232,2973382,5.5
5574,336.19036,5664466,12.6
5575,336.27912,2443264,4.1
5576,336.28405,2717559,4.9
5577,336.31209,2498207,4.3
5578,336.35476,2405403,4.0
5579,336.5997,3080727,5.8
5580,336.93626,2941490,5.4
5581,336.96215,2508758,4.3
5582,337.02094,9277033,22.1
5583,337.04077,2432677,4.1
5584,337.0504,2607122,4.6
5585,337.054,2939415,5.4
5586,337.05734,47197084,121.9
5587,337.06067,2402721,4.0
5588,337.06737,2594218,4.5
5589,337.06867,9517740,22.7
5590,337.07039,2627695,4.6
5591,337.07264,3748018,7.6
5592,337.07575,3069750,5.8
5593,337.07688,2928440,5.4
5594,337.08811,3039975,5.7
5595,337.09085,6388683,14.5
5596,337.09191,4196301,8.7
5597,337.0937,130490319,340.9
5598,337.09699,9528532,22.8
5599,337.10496,17951455,44.9
5600,337.10659,6802529,15.6
5601,337.10878,2847748,5.2
5602,337.11224,6801897,15.6
5603,337.12145,2493462,4.3
5604,337.12463,3991803,8.2
5605,337.1273,7559167,17.6
5606,337.12825,5050368,11.0
5607,337.13008,171110403,447.8
5608,337.13344,8133767,19.1
5609,337.14126,7671442,17.9
5610,337.14309,4195861,8.7
5611,337.16366,3913906,8.0
5612,337.16463,2419507,4.1
5613,337.16647,67829814,176.1
5614,337.16974,3034042,5.7
5615,337.185,9455951,22.6
5616,337.20283,12267881,30.0
5617,337.2061,7284077,16.9
5618,337.22367,2472598,4.2
5619,337.68844,2831503,5.2
5620,337.80313,2506447,4.3
5621,337.8806,2441562,4.1
5622,337.94963,2424922,4.1
5623,338.00969,2403437,4.0
5624,338.01843,2503001,4.3
5625,338.05254,9241353,22.0
5626,338.06074,6590612,15.0
5627,338.08896,19397947,48.7
5628,338.09217,2771968,5.0
5629,338.09701,21800262,55.0
5630,338.10024,2784907,5.0
5631,338.1083,2522838,4.3
5632,338.12533,18103406,45.3
5633,338.13346,30772089,78.6
5634,338.13662,2607037,4.6
5635,338.14471,2584840,4.5
5636,338.16068,2440286,4.1
5637,338.16187,3480096,6.9
5638,338.16987,10960555,26.5
5639,338.19148,2577385,4.5
5640,338.20945,2658946,4.7
5641,338.28476,2458442,4.2
5642,338.30444,2446373,4.1
5643,338.65221,2437059,4.1
5644,338.87047,2682381,4.8
5645,338.93377,3222916,6.2
5646,338.97414,4769531,10.2
5647,338.99204,2990131,5.6
5648,339.0152,2440435,4.1
5649,339.01864,4101111,8.5
5650,339.03646,16025424,39.9
5651,339.05165,6693476,15.3
5652,339.05496,6967529,16.0
5653,339.06474,2590582,4.5
5654,339.07051,3106494,5.9
5655,339.07282,84638337,220.3
5656,339.07595,4116677,8.5
5657,339.0842,10652689,25.7
5658,339.08797,5876630,13.2
5659,339.09131,6848410,15.7
5660,339.0924,4613532,9.8
5661,339.09814,3319268,6.4
5662,339.10123,3564072,7.1
5663,339.10691,8570671,20.2
5664,339.10921,215986867,565.8
5665,339.11264,11394743,27.7
5666,339.12047,11156674,27.0
5667,339.12463,4064776,8.4
5668,339.12624,3357898,6.5
5669,339.12782,36207308,92.9
5670,339.13769,3900249,8.0
5671,339.14004,2451101,4.2
5672,339.14306,6799329,15.6
5673,339.14562,137050852,358.2
5674,339.14909,4724201,10.1
5675,339.1575,2560116,4.4
5676,339.16094,3065145,5.8
5677,339.1642,22296317,56.3
5678,339.18207,28625686,73.0
5679,339.20065,46431023,119.8
5680,339.21836,3357127,6.5
5681,339.45246,3162596,6.0
5682,339.6288,2503570,4.3
5683,339.78443,2640995,4.6
5684,339.81242,2783465,4.9
5685,339.92538,2865440,5.1
5686,340.01382,2485590,4.2
5687,340.03977,4046361,8.2
5688,340.04701,4174307,8.5
5689,340.04986,2849959,5.1
5690,340.05494,3305773,6.3
5691,340.06071,2671093,4.6
5692,340.06814,12621759,30.3
5693,340.07615,14532810,35.3
5694,340.08308,2550195,4.3
5695,340.0865,2612439,4.5
5696,340.09451,4089122,8.3
5697,340.10445,22423023,55.6
5698,340.10778,10487540,24.8
5699,340.11257,37314554,94.1
5700,340.11579,3263103,6.2
5701,340.11926,4082691,8.3
5702,340.13114,7412627,16.9
5703,340.14089,11944736,28.6
5704,340.14891,29887019,74.9
5705,340.15017,2777132,4.9
5706,340.16757,4154436,8.5
5707,340.17697,2997776,5.5
5708,340.1853,6854875,15.4
5709,340.20398,11245684,26.8
5710,340.58094,2570312,4.4
5711,340.6243,2456386,4.1
5712,340.76986,2456994,4.1
5713,340.83633,2599449,4.5
5714,340.92262,2521322,4.2
5715,340.96249,2557695,4.3
5716,340.97135,2794794,5.0
5717,340.99815,2593358,4.4
5718,341.01587,2490181,4.2
5719,341.03108,8350905,19.3
5720,341.03443,4878717,10.3
5721,341.04278,2889864,5.2
5722,341.04574,2794092,5.0
5723,341.05226,26868437,67.1
5724,341.05707,2782907,4.9
5725,341.06328,3040419,5.6
5726,341.06759,10072041,23.7
5727,341.07086,16391405,40.1
5728,341.07208,3018095,5.5
5729,341.07877,3578807,7.0
5730,341.08064,4772922,10.1
5731,341.08609,5640257,12.3
5732,341.08861,130129156,333.8
5733,341.09994,7232531,16.4
5734,341.10394,11342872,27.0
5735,341.1072,20459292,50.6
5736,341.1112,3027394,5.6
5737,341.11499,3545543,6.9
5738,341.11695,9242153,21.6
5739,341.11965,2695405,4.7
5740,341.12206,7124912,16.1
5741,341.12344,6694450,15.0
5742,341.12498,175922484,452.0
5743,341.1363,4147010,8.4
5744,341.1406,18411336,45.3
5745,341.14359,278129996,715.9
5746,341.14683,2611728,4.5
5747,341.15323,5689816,12.4
5748,341.16134,63631715,162.1
5749,341.17665,4619255,9.7
5750,341.17998,25706363,64.1
5751,341.19777,9021075,21.0
5752,341.43745,2558411,4.3
5753,341.63909,2540816,4.3
5754,341.94157,2514102,4.2
5755,342.02634,4225474,8.6
5756,342.03009,2454055,4.1
5757,342.03728,3177616,5.9
5758,342.04741,3072381,5.7
5759,342.05094,6904802,15.6
5760,342.05538,5925160,13.0
5761,342.06286,4732977,10.0
5762,342.06617,3421493,6.6
5763,342.07109,2717148,4.8
5764,342.07406,2486047,4.2
5765,342.08393,10428172,24.7
5766,342.09198,21147926,52.3
5767,342.09904,2900640,5.2
5768,342.10246,3078884,5.7
5769,342.11059,3958510,8.0
5770,342.12035,12753467,30.7
5771,342.12842,28787269,72.1
5772,342.13558,3536654,6.9
5773,342.14421,2738665,4.8
5774,342.14707,44676701,113.1
5775,342.14946,3050784,5.6
5776,342.15668,3145513,5.9
5777,342.16194,2507056,4.2
5778,342.16478,10571379,25.0
5779,342.18363,3685580,7.3
5780,342.20113,2972226,5.4
5781,342.38219,2677832,4.6
5782,342.65658,2570116,4.4
5783,342.67383,2513530,4.2
5784,342.77201,2428406,4.0
5785,342.77709,2670908,4.6
5786,342.78102,3069857,5.7
5787,342.97521,16335733,39.9
5788,343.00582,3009692,5.5
5789,343.01029,4778977,10.1
5790,343.01365,3696230,7.3
5791,343.03121,3390203,6.5
5792,343.04662,12892623,31.0
5793,343.05002,7655123,17.5
5794,343.05786,5000541,10.6
5795,343.0597,4446303,9.2
5796,343.06127,3101793,5.7
5797,343.06488,2572518,4.4
5798,343.06778,40286953,101.8
5799,343.07914,3444728,6.6
5800,343.0831,20566012,50.8
5801,343.08638,60519169,154.0
5802,343.09427,7823755,17.9
5803,343.09609,13491725,32.6
5804,343.10126,2967699,5.4
5805,343.10265,5550869,12.1
5806,343.10416,112486167,288.2
5807,343.11534,3349989,6.4
5808,343.1179,3243560,6.1
5809,343.11941,21914922,54.3
5810,343.12277,43603758,110.3
