,m/z,I,S/N
0,203.79925,1900200,4.2
1,203.8847,1997943,4.5
2,205.12343,1897220,4.2
3,205.86068,1860539,4.0
4,206.1141,1884999,4.1
5,206.15367,2030651,4.6
6,206.28532,2159191,5.1
7,206.53069,1959404,4.4
8,206.92695,1968054,4.4
9,207.01243,2999220,8.0
10,207.0773,1888876,4.1
11,207.18882,1909486,4.2
12,207.22724,1850803,4.0
13,207.26949,2016064,4.6
14,207.3329,1956897,4.4
15,207.33958,2106242,4.9
16,207.38164,1925772,4.3
17,207.55492,2253747,5.4
18,207.55768,1869184,4.1
19,207.84431,1858493,4.0
20,207.90839,2066113,4.8
21,208.12209,2017665,4.6
22,208.27219,1904214,4.2
23,208.35255,2313064,5.6
24,208.49627,2110767,4.9
25,208.70201,1975761,4.4
26,208.71973,1866013,4.1
27,208.74617,1894969,4.2
28,208.76151,1851864,4.0
29,209.05006,1883952,4.1
30,209.05691,2215307,5.3
31,209.25187,1857329,4.0
32,209.32587,1990757,4.5
33,209.3335,1905053,4.2
34,209.34985,1870953,4.1
35,209.4699,2075361,4.8
36,209.47102,2011011,4.6
37,209.60643,1853417,4.0
38,209.80354,1933183,4.3
39,209.81928,2139076,5.0
40,209.84906,1860654,4.0
41,209.88926,1880267,4.1
42,209.96093,2115702,4.9
43,209.98248,2194144,5.2
44,210.12924,1853997,4.0
45,210.20636,1952826,4.4
46,210.23789,1857561,4.0
47,210.25614,1863518,4.0
48,210.27793,1888453,4.1
49,210.37097,1858861,4.0
50,210.4079,2116950,4.9
51,210.4126,1994471,4.5
52,210.41956,2404989,6.0
53,210.4757,2159227,5.1
54,210.54023,2090167,4.8
55,210.56532,2217345,5.3
56,210.63634,1872116,4.1
57,210.6541,1936731,4.3
58,210.65976,2348144,5.8
59,210.67383,2019551,4.6
60,210.81182,2065400,4.8
61,210.81426,1873281,4.1
62,210.83395,2118834,4.9
63,210.84891,1877830,4.1
64,210.8723,2111789,4.9
65,210.93857,2320544,5.7
66,210.99999,1924699,4.3
67,211.00361,2124439,5.0
68,211.07356,2075295,4.8
69,211.09347,1976869,4.4
70,211.09771,1969669,4.4
71,211.30195,2186406,5.2
72,211.36353,2193578,5.2
73,211.4553,1920288,4.2
74,211.518,1907103,4.2
75,211.54163,2278410,5.5
76,211.65495,1890713,4.1
77,211.74164,1907485,4.2
78,211.76293,2253863,5.4
79,211.76775,2113404,4.9
80,211.79919,1958808,4.4
81,211.80357,2290930,5.6
82,211.83044,2084338,4.8
83,211.84226,2024629,4.6
84,211.93968,2283765,5.5
85,211.9766,1966453,4.4
86,211.99122,2024555,4.6
87,212.04718,2336252,5.7
88,212.05242,1875794,4.1
89,212.06575,2326645,5.7
90,212.09851,2377737,5.9
91,212.14475,1907030,4.2
92,212.15088,1940714,4.3
93,212.198,2250530,5.4
94,212.21652,2411080,6.0
95,212.23362,2000013,4.5
96,212.2628,1884167,4.1
97,212.334,2209903,5.3
98,212.37649,1877736,4.1
99,212.39163,2196590,5.2
100,212.462,2118117,4.9
101,212.48522,1962972,4.4
102,212.48941,1886501,4.1
103,212.51096,1970572,4.4
104,212.5341,2003332,4.5
105,212.53665,1868411,4.1
106,212.56564,1935425,4.3
107,212.62524,2155383,5.1
108,212.68956,2467718,6.2
109,212.69672,2130254,5.0
110,212.70524,1853477,4.0
111,212.73077,2091383,4.9
112,212.74843,1883130,4.1
113,212.76074,1909857,4.2
114,212.78204,1978786,4.5
115,212.89155,1968660,4.4
116,212.90262,2028538,4.6
117,212.91547,1939718,4.3
118,212.93463,1905070,4.2
119,212.98797,2388588,5.9
120,213.03027,1861200,4.0
121,213.04065,2075560,4.8
122,213.09435,2006129,4.6
123,213.12392,2508080,6.3
124,213.13664,2016188,4.6
125,213.2181,1862069,4.0
126,213.2213,1962521,4.4
127,213.23046,2065390,4.8
128,213.26478,2156991,5.1
129,213.27963,1884755,4.1
130,213.31506,1977437,4.5
131,213.39177,1943431,4.3
132,213.39509,1857550,4.0
133,213.40908,2089750,4.8
134,213.40999,1905414,4.2
135,213.43318,2030485,4.6
136,213.4628,2022144,4.6
137,213.49293,1870008,4.1
138,213.51239,1889404,4.1
139,213.52724,1920372,4.3
140,213.53494,2026814,4.6
141,213.54416,2649826,6.8
142,213.5829,1850494,4.0
143,213.59652,2208470,5.3
144,213.61726,1880819,4.1
145,213.61962,2033181,4.6
146,213.62166,2056851,4.7
147,213.64381,2105996,4.9
148,213.64962,2048416,4.7
149,213.65339,1988389,4.5
150,213.70261,2244166,5.4
151,213.77098,1990834,4.5
152,213.79053,1923667,4.3
153,213.79718,1883449,4.1
154,213.81999,1871572,4.1
155,213.82087,1992741,4.5
156,213.8638,1893965,4.2
157,213.8732,2318716,5.7
158,213.9291,2110877,4.9
159,213.9296,2236890,5.4
160,213.9404,2017319,4.6
161,213.95075,1909287,4.2
162,213.97771,1950065,4.4
163,213.97937,1897701,4.2
164,213.98134,1947408,4.3
165,213.9854,2173339,5.1
166,213.99161,2466380,6.2
167,213.99862,1879943,4.1
168,214.02915,2497473,6.3
169,214.03212,1948015,4.3
170,214.07989,2339448,5.7
171,214.10602,2199968,5.2
172,214.10739,1885949,4.1
173,214.11278,2459425,6.1
174,214.11463,2087360,4.8
175,214.1198,1868404,4.1
176,214.14492,2290607,5.6
177,214.15045,2045899,4.7
178,214.15641,1933828,4.3
179,214.16733,1901829,4.2
180,214.17615,1878321,4.1
181,214.18666,2025165,4.6
182,214.19148,2240897,5.4
183,214.19269,1931908,4.3
184,214.22616,1949121,4.4
185,214.23651,1946615,4.3
186,214.24356,1935158,4.3
187,214.28834,1933234,4.3
188,214.30111,2332599,5.7
189,214.30583,1912829,4.2
190,214.3087,1971878,4.4
191,214.32835,1870770,4.1
192,214.33681,1876020,4.1
193,214.37341,2409630,6.0
194,214.4588,1946765,4.3
195,214.46905,2131565,5.0
196,214.4735,2181178,5.2
197,214.51648,1936961,4.3
198,214.53794,1949756,4.4
199,214.59974,1875589,4.1
200,214.60226,2369559,5.8
201,214.60684,2107900,4.9
202,214.60792,2010016,4.6
203,214.62613,1986214,4.5
204,214.63596,1928241,4.3
205,214.66401,2015473,4.6
206,214.70003,1861598,4.0
207,214.70511,1989239,4.5
208,214.73111,2375742,5.9
209,214.77051,1880076,4.1
210,214.77298,1919682,4.2
211,214.81825,1972459,4.4
212,214.86356,1868881,4.1
213,214.87188,2002416,4.5
214,214.87517,2033584,4.6
215,214.88917,2031401,4.6
216,214.91255,2054704,4.7
217,214.95624,1898169,4.2
218,214.96124,2118954,4.9
219,214.97177,2048912,4.7
220,214.98905,1874696,4.1
221,215.08117,2329724,5.7
222,215.10564,2703629,7.0
223,215.12777,1968276,4.4
224,215.14502,1855896,4.0
225,215.18476,1979162,4.5
226,215.18804,2166121,5.1
227,215.19346,1870072,4.1
228,215.21387,1875904,4.1
229,215.2219,1939992,4.3
230,215.23535,1872720,4.1
231,215.29287,2080826,4.8
232,215.30988,1867067,4.1
233,215.32503,2103273,4.9
234,215.3399,1918835,4.2
235,215.34659,2154996,5.1
236,215.34859,2207426,5.3
237,215.37182,2175423,5.1
238,215.37372,2636203,6.8
239,215.37831,1865847,4.1
240,215.39207,1956666,4.4
241,215.40577,2047887,4.7
242,215.42064,1990850,4.5
243,215.42555,1985197,4.5
244,215.43855,1884875,4.1
245,215.45797,1938436,4.3
246,215.46973,2709172,7.0
247,215.50196,1909117,4.2
248,215.52267,2171331,5.1
249,215.524,1973819,4.4
250,215.56799,2195759,5.2
251,215.61272,1880850,4.1
252,215.66323,2205406,5.3
253,215.69368,2142226,5.0
254,215.69775,2031073,4.6
255,215.70554,1975818,4.4
256,215.71503,1974889,4.4
257,215.7158,2050919,4.7
258,215.71685,2273756,5.5
259,215.72149,1966103,4.4
260,215.73251,1963830,4.4
261,215.78727,2105996,4.9
262,215.79984,2265275,5.5
263,215.83233,1958360,4.4
264,215.84818,1854276,4.0
265,215.8628,2176187,5.2
266,215.86413,1981571,4.5
267,215.88648,1916287,4.2
268,215.88937,1949993,4.4
269,215.89418,2215634,5.3
270,215.90551,1989299,4.5
271,215.91188,2158775,5.1
272,215.92616,1909145,4.2
273,215.92973,2786734,7.3
274,215.93111,1864471,4.1
275,215.9613,2025515,4.6
276,215.96418,2778727,7.3
277,215.99541,1906778,4.2
278,216.00072,1938769,4.3
279,216.01233,2066531,4.8
280,216.05548,1864370,4.1
281,216.06431,2004217,4.5
282,216.06632,1863337,4.1
283,216.0676,1968241,4.4
284,216.08503,2061810,4.7
285,216.09813,1906406,4.2
286,216.11803,2001262,4.5
287,216.13107,1958034,4.4
288,216.13611,2106349,4.9
289,216.16288,2123076,5.0
290,216.16688,2682242,6.9
291,216.19225,1851609,4.0
292,216.19973,1907439,4.2
293,216.20884,1943035,4.3
294,216.22296,2359354,5.8
295,216.23663,1928949,4.3
296,216.25408,1981346,4.5
297,216.25512,2057682,4.7
298,216.28164,1926420,4.3
299,216.32197,1889664,4.1
300,216.32334,2097315,4.9
301,216.32489,2346214,5.7
302,216.33092,1932308,4.3
303,216.34369,1984871,4.5
304,216.35458,2317191,5.6
305,216.35987,2241053,5.4
306,216.36234,2103437,4.9
307,216.3715,2326600,5.7
308,216.37279,2145267,5.0
309,216.47027,2414941,6.0
310,216.48299,2225979,5.3
311,216.48731,1960094,4.4
312,216.4918,1854294,4.0
313,216.49788,1857605,4.0
314,216.50982,2113871,4.9
315,216.5129,2207062,5.3
316,216.51663,2160167,5.1
317,216.52114,1872961,4.1
318,216.54311,1867568,4.1
319,216.57087,2438462,6.1
320,216.59527,1888516,4.1
321,216.62371,1883747,4.1
322,216.6557,1871512,4.1
323,216.66563,1855350,4.0
324,216.69432,2662867,6.9
325,216.70958,1857126,4.0
326,216.72047,2332786,5.7
327,216.7261,1889926,4.1
328,216.73426,1876027,4.1
329,216.73894,2003646,4.5
330,216.74669,1927185,4.3
331,216.74905,1896382,4.2
332,216.7943,2408913,6.0
333,216.81298,1908270,4.2
334,216.82801,2053896,4.7
335,216.83121,1966509,4.4
336,216.87667,1958683,4.4
337,216.89458,2112745,4.9
338,216.90607,1996325,4.5
339,216.90976,1969485,4.4
340,216.91461,1926329,4.3
341,216.91677,2263350,5.5
342,216.94428,2682415,6.9
343,216.94659,2070992,4.8
344,216.96607,1890446,4.1
345,216.98207,1948585,4.4
346,216.98951,1853471,4.0
347,217.01138,1936069,4.3
348,217.01231,1923808,4.3
349,217.01358,2792789,7.3
350,217.03119,1908949,4.2
351,217.03609,1853528,4.0
352,217.03908,1917872,4.2
353,217.08633,1889204,4.1
354,217.13295,1988544,4.5
355,217.17905,1951271,4.4
356,217.18832,2587667,6.6
357,217.19807,1981063,4.5
358,217.20563,1876571,4.1
359,217.2479,1862864,4.0
360,217.28672,2080184,4.8
361,217.30314,1920242,4.3
362,217.31177,1938889,4.3
363,217.32967,2021048,4.6
364,217.33097,1890942,4.1
365,217.33817,2001940,4.5
366,217.37205,2196545,5.2
367,217.37623,1867722,4.1
368,217.40758,2086109,4.8
369,217.43824,2162265,5.1
370,217.44051,2127125,5.0
371,217.45143,1981028,4.5
372,217.45377,2386993,5.9
373,217.46017,2250984,5.4
374,217.46798,1999256,4.5
375,217.47433,2072681,4.8
376,217.4879,2008414,4.6
377,217.53331,1947418,4.3
378,217.53986,2025826,4.6
379,217.56181,2046205,4.7
380,217.56483,2812556,7.4
381,217.57378,2047627,4.7
382,217.58106,1865344,4.1
383,217.59102,2106376,4.9
384,217.60197,2107078,4.9
385,217.61505,1857989,4.0
386,217.63169,2375382,5.9
387,217.65854,1878807,4.1
388,217.67006,1876414,4.1
389,217.67607,2090609,4.8
390,217.69764,2523316,6.4
391,217.72518,1892192,4.2
392,217.75903,2350003,5.8
393,217.76191,2074333,4.8
394,217.78092,2052194,4.7
395,217.80739,2382751,5.9
396,217.81478,1888843,4.1
397,217.82525,2001956,4.5
398,217.82883,1982617,4.5
399,217.83245,1960408,4.4
400,217.84666,2306168,5.6
401,217.86361,2221179,5.3
402,217.87561,1904190,4.2
403,217.87988,2135032,5.0
404,217.88314,2127415,5.0
405,217.90099,2150728,5.1
406,217.90753,2038601,4.7
407,217.93027,2157225,5.1
408,217.93963,1868202,4.1
409,217.94253,1959771,4.4
410,217.95713,2553774,6.5
411,217.95851,1881659,4.1
412,217.97186,1899969,4.2
413,217.98149,1990352,4.5
414,217.98252,1918982,4.2
415,217.99734,2241569,5.4
416,218.00096,2035983,4.7
417,218.00501,1936959,4.3
418,218.0076,1897720,4.2
419,218.01115,1861136,4.0
420,218.01474,1980621,4.5
421,218.025,1931850,4.3
422,218.03057,1860720,4.0
423,218.03758,1943199,4.3
424,218.04804,2083277,4.8
425,218.04967,1965348,4.4
426,218.09483,2080831,4.8
427,218.09662,2134425,5.0
428,218.10248,1885127,4.1
429,218.10698,2172458,5.1
430,218.11549,1902849,4.2
431,218.15646,2067923,4.8
432,218.15705,1952962,4.4
433,218.16789,2286583,5.5
434,218.18153,2561917,6.5
435,218.18668,1941443,4.3
436,218.19503,1989274,4.5
437,218.19987,1853932,4.0
438,218.2089,2425509,6.0
439,218.2106,2129803,5.0
440,218.21378,1849367,4.0
441,218.21875,2106973,4.9
442,218.22133,1949560,4.4
443,218.22596,2089677,4.8
444,218.23706,2649822,6.8
445,218.24252,1853252,4.0
446,218.24427,1895960,4.2
447,218.2485,2275068,5.5
448,218.28346,2173480,5.1
449,218.29029,1850422,4.0
450,218.32019,1905625,4.2
451,218.33725,1851035,4.0
452,218.34198,1912061,4.2
453,218.35035,2258322,5.4
454,218.36138,2059824,4.7
455,218.36226,2888668,7.7
456,218.37488,2121964,5.0
457,218.40877,1967067,4.4
458,218.46103,2112369,4.9
459,218.4717,1952798,4.4
460,218.47674,2065461,4.8
461,218.50246,1885347,4.1
462,218.50398,1895566,4.2
463,218.5254,1929377,4.3
464,218.52619,1892377,4.2
465,218.52745,1941021,4.3
466,218.55278,2020504,4.6
467,218.55826,2453098,6.1
468,218.56099,2305742,5.6
469,218.56699,1976470,4.4
470,218.57524,2028229,4.6
471,218.6217,2250081,5.4
472,218.6241,2030391,4.6
473,218.62717,2138671,5.0
474,218.6336,1884350,4.1
475,218.66423,1889215,4.1
476,218.68368,1893984,4.2
477,218.68736,2134729,5.0
478,218.69477,2066942,4.8
479,218.69759,1879640,4.1
480,218.70538,1865508,4.1
481,218.71393,1914256,4.2
482,218.7191,2229921,5.3
483,218.72247,1888112,4.1
484,218.74203,1866998,4.1
485,218.75895,2319364,5.7
486,218.7787,2083168,4.8
487,218.78534,2484057,6.2
488,218.81785,2387576,5.9
489,218.82232,1965525,4.4
490,218.82653,1909259,4.2
491,218.8334,1890725,4.1
492,218.83532,1939876,4.3
493,218.84016,2353141,5.8
494,218.84217,2310979,5.6
495,218.85191,2334106,5.7
496,218.8877,1855287,4.0
497,218.90336,2329214,5.7
498,218.90428,2043065,4.7
499,218.92142,2214965,5.3
500,218.93327,2455279,6.1
501,218.93539,2350770,5.8
502,218.94116,2379437,5.9
503,218.96025,1925672,4.3
504,218.96456,1956545,4.4
505,218.96885,2820494,7.4
506,218.97265,2126953,5.0
507,218.9751,1853727,4.0
508,218.99811,2393471,5.9
509,219.0058,2332537,5.7
510,219.03202,2508322,6.3
511,219.03518,2071444,4.8
512,219.05506,1850259,4.0
513,219.07954,2067049,4.8
514,219.08651,1860315,4.0
515,219.09693,2244858,5.4
516,219.11794,1932010,4.3
517,219.14271,1877440,4.1
518,219.14521,1944387,4.3
519,219.14768,2090067,4.8
520,219.15067,2388228,5.9
521,219.15182,1857623,4.0
522,219.15706,2132673,5.0
523,219.17389,2475084,6.2
524,219.17814,2354368,5.8
525,219.18897,2077738,4.8
526,219.19291,2224982,5.3
527,219.20096,1851067,4.0
528,219.2119,2180058,5.2
529,219.2196,2119330,4.9
530,219.22338,1934863,4.3
531,219.22907,1872007,4.1
532,219.23209,2420004,6.0
533,219.23636,1900183,4.2
534,219.23709,2242244,5.4
535,219.25476,2337036,5.7
536,219.26011,1974471,4.4
537,219.2687,1879156,4.1
538,219.27274,1990111,4.5
539,219.27871,2533240,6.4
540,219.28043,2145808,5.0
541,219.28369,1849566,4.0
542,219.29135,1948585,4.3
543,219.29446,2307679,5.6
544,219.30168,2118057,4.9
545,219.30321,1943364,4.3
546,219.30858,1963926,4.4
547,219.3106,2165727,5.1
548,219.3148,1994297,4.5
549,219.31601,2161660,5.1
550,219.32046,1995361,4.5
551,219.33221,2076627,4.8
552,219.35074,2007943,4.6
553,219.35587,2102641,4.9
554,219.35888,3073477,8.3
555,219.37466,2570172,6.5
556,219.37876,2711986,7.0
557,219.38147,2047360,4.7
558,219.38285,2042268,4.7
559,219.39321,2696041,7.0
560,219.401,2385994,5.9
561,219.402,1982137,4.5
562,219.41122,1993926,4.5
563,219.41456,2317378,5.6
564,219.42359,1914155,4.2
565,219.42609,2402437,5.9
566,219.43199,2090875,4.8
567,219.43841,2036735,4.7
568,219.44171,2205709,5.3
569,219.44391,2018852,4.6
570,219.46132,1874151,4.1
571,219.46313,1904903,4.2
572,219.47029,2593124,6.6
573,219.47127,2162961,5.1
574,219.47291,2641374,6.8
575,219.47566,1927329,4.3
576,219.47667,2196617,5.2
577,219.47999,2101760,4.9
578,219.48397,1948809,4.3
579,219.49104,2421652,6.0
580,219.49623,1873208,4.1
581,219.49891,2297626,5.6
582,219.50644,2720633,7.1
583,219.51682,2971658,7.9
584,219.51956,1919812,4.2
585,219.52256,2747949,7.2
586,219.52588,2124466,5.0
587,219.53023,2218085,5.3
588,219.53153,2354309,5.8
589,219.53567,2298877,5.6
590,219.53757,1912278,4.2
591,219.54179,1973955,4.4
592,219.54396,2367938,5.8
593,219.55763,2197073,5.2
594,219.56622,2405248,6.0
595,219.56975,2335710,5.7
596,219.57179,2555751,6.5
597,219.57767,2171070,5.1
598,219.5809,1955316,4.4
599,219.58544,2174547,5.1
600,219.58702,1991154,4.5
601,219.58785,2033163,4.6
602,219.58969,2291709,5.6
603,219.5902,2293911,5.6
604,219.59599,2545233,6.4
605,219.59726,2224665,5.3
606,219.60437,2249121,5.4
607,219.62291,2313153,5.6
608,219.62864,2396633,5.9
609,219.64499,1977636,4.5
610,219.64889,2164587,5.1
611,219.65007,2225025,5.3
612,219.65176,2321600,5.7
613,219.65851,2215072,5.3
614,219.66133,2314922,5.6
615,219.66833,1990041,4.5
616,219.67358,1946949,4.3
617,219.68016,1872305,4.1
618,219.68916,1922956,4.3
619,219.69107,2130271,5.0
620,219.69316,1942719,4.3
621,219.69726,2485438,6.2
622,219.69866,3151502,8.6
623,219.7054,1915132,4.2
624,219.70876,2186069,5.2
625,219.71013,1857414,4.0
626,219.71897,2391196,5.9
627,219.73068,2233927,5.4
628,219.73163,2531907,6.4
629,219.74445,2243099,5.4
630,219.74651,2138102,5.0
631,219.75376,3152184,8.6
632,219.76183,2174670,5.1
633,219.76429,1939026,4.3
634,219.76796,1870544,4.1
635,219.7687,1854943,4.0
636,219.77758,2792482,7.3
637,219.78056,2531265,6.4
638,219.79143,2311173,5.6
639,219.79639,1915631,4.2
640,219.80389,2261040,5.4
641,219.80884,2658985,6.8
642,219.81409,1855986,4.0
643,219.81798,2272455,5.5
644,219.8193,1969999,4.4
645,219.8209,2118134,4.9
646,219.82265,2074227,4.8
647,219.8238,2015030,4.6
648,219.82477,2033318,4.6
649,219.82607,2055061,4.7
650,219.8281,1908854,4.2
651,219.83697,1892893,4.2
652,219.83759,2186983,5.2
653,219.84081,2567435,6.5
654,219.84238,2251386,5.4
655,219.84356,3465861,9.7
656,219.84518,2467751,6.2
657,219.85116,2286057,5.5
658,219.85291,1858736,4.0
659,219.85584,1886806,4.1
660,219.85919,2849119,7.5
661,219.87291,1984527,4.5
662,219.87843,2229024,5.3
663,219.88498,2481335,6.2
664,219.88619,2407153,6.0
665,219.88965,2439196,6.1
666,219.89035,2065650,4.8
667,219.8995,1958039,4.4
668,219.90036,2040714,4.7
669,219.9015,2241918,5.4
670,219.90585,2454660,6.1
671,219.91134,2172822,5.1
672,219.91802,2606446,6.7
673,219.91973,2377119,5.9
674,219.92135,2918019,7.8
675,219.92608,2057085,4.7
676,219.93316,1924455,4.3
677,219.93561,1866964,4.1
678,219.93695,2239598,5.4
679,219.93949,2697241,7.0
680,219.9416,1873212,4.1
681,219.9462,2185466,5.2
682,219.94935,2749129,7.2
683,219.95021,2662117,6.9
684,219.95121,2028248,4.6
685,219.95218,2027689,4.6
686,219.95486,2505532,6.3
687,219.96022,1939372,4.3
688,219.96363,1849890,4.0
689,219.97247,2043386,4.7
690,219.97922,2331865,5.7
691,219.99222,2403676,5.9
692,219.99803,1909768,4.2
693,219.99882,2337380,5.7
694,220.00285,1986196,4.5
695,220.00372,2116230,4.9
696,220.00496,2139527,5.0
697,220.00622,2319422,5.7
698,220.01218,2211175,5.3
699,220.01673,2093250,4.9
700,220.02787,1862273,4.0
701,220.03092,2642423,6.8
702,220.03219,2819481,7.4
703,220.0349,2145339,5.0
704,220.03615,2449614,6.1
705,220.03885,2192430,5.2
706,220.043,2133849,5.0
707,220.04435,1874496,4.1
708,220.05184,1867782,4.1
709,220.05634,2944640,7.8
710,220.06002,1946316,4.3
711,220.06113,2027896,4.6
712,220.06742,2101033,4.9
713,220.06886,2323906,5.7
714,220.07222,1883021,4.1
715,220.07413,2032775,4.6
716,220.07582,1858929,4.0
717,220.07706,1897374,4.2
718,220.07999,2703038,7.0
719,220.08196,1989947,4.5
720,220.08368,2046881,4.7
721,220.08604,2363388,5.8
722,220.09015,2363121,5.8
723,220.09117,2467317,6.2
724,220.09604,2267970,5.5
725,220.10713,1919077,4.2
726,220.10777,1860866,4.0
727,220.10964,2246412,5.4
728,220.11512,2273820,5.5
729,220.1175,2388665,5.9
730,220.11811,1941336,4.3
731,220.12036,2874538,7.6
732,220.12208,2088802,4.8
733,220.13049,2167531,5.1
734,220.13559,2640869,6.8
735,220.14197,1943460,4.3
736,220.14656,2330803,5.7
737,220.15385,2723142,7.1
738,220.1587,2890460,7.7
739,220.15926,2811180,7.4
740,220.16441,2006639,4.6
741,220.17018,2392520,5.9
742,220.17116,2130409,5.0
743,220.18431,3262596,9.0
744,220.18852,2244890,5.4
745,220.19014,2462411,6.2
746,220.19371,2418789,6.0
747,220.19716,1941807,4.3
748,220.19897,1934984,4.3
749,220.20123,1883670,4.1
750,220.20377,1979496,4.5
751,220.21007,2313384,5.6
752,220.21554,2713225,7.0
753,220.22424,2118209,4.9
754,220.24552,2120241,5.0
755,220.2464,2031406,4.6
756,220.24722,2050212,4.7
757,220.24936,2388569,5.9
758,220.25164,2215787,5.3
759,220.2552,1896740,4.2
760,220.25942,1965011,4.4
761,220.2617,2563373,6.5
762,220.2651,2439306,6.1
763,220.26914,2114611,4.9
764,220.27323,2771806,7.2
765,220.27565,2063914,4.8
766,220.28193,2040960,4.7
767,220.28296,1977939,4.5
768,220.28631,3133437,8.5
769,220.287,1988345,4.5
770,220.28821,2039649,4.7
771,220.28938,2344258,5.7
772,220.29502,2091499,4.9
773,220.30007,3561237,10.0
774,220.30328,1939094,4.3
775,220.30639,2097264,4.9
776,220.30849,3443923,9.6
777,220.30921,2318192,5.6
778,220.31535,2688154,6.9
779,220.32281,1985617,4.5
780,220.32905,2114387,4.9
781,220.32986,2327495,5.7
782,220.33145,1854074,4.0
783,220.33444,2564225,6.5
784,220.34214,1961097,4.4
785,220.34335,1937829,4.3
786,220.34649,2040979,4.7
787,220.34918,2228693,5.3
788,220.35008,2276316,5.5
789,220.35391,2064874,4.8
790,220.35558,2311506,5.6
791,220.3574,2342668,5.7
792,220.35805,1933299,4.3
793,220.35909,1879213,4.1
794,220.36323,2117696,4.9
795,220.36599,1928471,4.3
796,220.36851,2089599,4.8
797,220.36931,2014927,4.6
798,220.37061,2278995,5.5
799,220.37122,1857632,4.0
800,220.3892,2316666,5.6
801,220.38995,1915471,4.2
802,220.3934,2575170,6.6
803,220.40058,2068731,4.8
804,220.40168,2032341,4.6
805,220.40682,1924612,4.3
806,220.40987,2629653,6.7
807,220.41207,2300000,5.6
808,220.41567,1987929,4.5
809,220.41707,2241888,5.4
810,220.42421,2351687,5.8
811,220.42607,2127646,5.0
812,220.42724,2406926,6.0
813,220.43755,1994050,4.5
814,220.44072,2217111,5.3
815,220.44841,2404626,6.0
816,220.45022,2764918,7.2
817,220.45265,2218065,5.3
818,220.45706,1878266,4.1
819,220.46154,2302120,5.6
820,220.4642,2061815,4.7
821,220.46601,3126541,8.5
822,220.46804,1997474,4.5
823,220.46917,1992069,4.5
824,220.47878,2961146,7.9
825,220.48074,2124567,5.0
826,220.48165,2265500,5.5
827,220.48362,2335773,5.7
828,220.48656,1911803,4.2
829,220.49377,1926027,4.3
830,220.49589,2363602,5.8
831,220.49869,2206005,5.3
832,220.50356,1927032,4.3
833,220.50634,2576284,6.6
834,220.51056,2532455,6.4
835,220.51156,2311658,5.6
836,220.51795,2750214,7.2
837,220.52071,2095581,4.9
838,220.52453,2414805,6.0
839,220.5254,2130120,5.0
840,220.52798,2458938,6.1
841,220.53072,1886290,4.1
842,220.53445,2143694,5.0
843,220.53535,2066125,4.8
844,220.53841,2778046,7.3
845,220.53975,2234865,5.4
846,220.5408,2606939,6.7
847,220.54152,2887024,7.6
848,220.54469,2519538,6.4
849,220.54806,2772930,7.2
850,220.5509,2073547,4.8
851,220.55238,2269556,5.5
852,220.55378,1995151,4.5
853,220.5571,3635295,10.3
854,220.55808,2606688,6.7
855,220.55884,2185656,5.2
856,220.56418,2109490,4.9
857,220.56473,2008452,4.6
858,220.56827,2469086,6.2
859,220.57098,1952004,4.4
860,220.57282,2317955,5.6
861,220.5736,2234484,5.4
862,220.57944,2246438,5.4
863,220.58384,2041756,4.7
864,220.58803,2411813,6.0
865,220.58889,1904430,4.2
866,220.58955,2467645,6.2
867,220.59367,1986102,4.5
868,220.59485,1917606,4.2
869,220.59742,2370781,5.8
870,220.59901,2009938,4.6
871,220.60577,2010819,4.6
872,220.60809,1991066,4.5
873,220.60944,2190831,5.2
874,220.61646,1914615,4.2
875,220.62106,2047252,4.7
876,220.62241,2035734,4.7
877,220.62544,2226519,5.3
878,220.62698,3090671,8.4
879,220.62865,2278487,5.5
880,220.63133,3159698,8.6
881,220.63763,1977006,4.4
882,220.63882,2092910,4.9
883,220.64156,2376677,5.9
884,220.64364,2454047,6.1
885,220.65023,1856340,4.0
886,220.65631,2275649,5.5
887,220.66202,1990724,4.5
888,220.6634,2115853,4.9
889,220.66656,1880095,4.1
890,220.66955,2751811,7.2
891,220.67097,2025436,4.6
892,220.67448,2261687,5.4
893,220.67653,2280897,5.5
894,220.68596,2793536,7.3
895,220.69032,2516197,6.3
896,220.69325,2994224,8.0
897,220.69878,1970327,4.4
898,220.70038,2138631,5.0
899,220.70535,2669061,6.9
900,220.71161,2061062,4.7
901,220.71243,2099992,4.9
902,220.71464,2328275,5.7
903,220.71967,2063294,4.8
904,220.72038,2236557,5.4
905,220.72434,2085626,4.8
906,220.73083,1973718,4.4
907,220.73468,1868458,4.1
908,220.73648,2560150,6.5
909,220.74178,2076498,4.8
910,220.74238,2033208,4.6
911,220.74433,2374710,5.8
912,220.74934,1921061,4.3
913,220.7501,1964843,4.4
914,220.75112,2050275,4.7
915,220.75363,1993342,4.5
916,220.75469,2672093,6.9
917,220.75902,2278325,5.5
918,220.76222,2389077,5.9
919,220.76988,2121531,5.0
920,220.77059,1930398,4.3
921,220.77304,1928715,4.3
922,220.77604,2681137,6.9
923,220.78042,1969544,4.4
924,220.78255,2276893,5.5
925,220.78659,2697843,7.0
926,220.78854,1974641,4.4
927,220.78964,1943915,4.3
928,220.79687,2623977,6.7
929,220.80443,1940132,4.3
930,220.80853,1998001,4.5
931,220.81158,1949558,4.4
932,220.81435,1933255,4.3
