,m/z,intensity,S/N,log_intensity,mz_calibrated,mz_calibrated_Hline,tdb_index,C,H,N,O,S,theo,class,DBE,mz_E_ppm_BeforeCalibration,mz_E_ppm_AfterCalibration,isotope,track
3889,588.06288,8249934,15.2,6.916450474180173,588.0709994079851,,2646,26,19,0,16,0,588.0712122000001,O16,17.0,-14.16869220478132,-0.36184735887207575,1C13,True
3890,588.09926,5923922,10.3,6.772609331551973,588.1073802727963,,2648,27,23,0,15,0,588.1075976000001,O15,16.0,-14.176997600682029,-0.3695364669669266,1C13,True
2643,585.1739,6493177,11.5,6.812457241633817,585.1819507971716,,30502,39,25,2,4,0,585.18198,N2O4,28.0,-13.807670564206207,-0.04990384083014227,,True
2629,583.0649,15943383,31.7,7.202580479064219,583.0729007919876,,30175,27,19,0,15,0,583.0729426,O15,18.0,-13.79347147237538,-0.07170288540092203,,True
2628,583.04954,20944085,42.3,7.321061391761878,583.0575404280519,,30169,23,19,0,18,0,583.0576864,O18,14.0,-13.971859371729737,-0.25035592788010397,,True
2627,583.02879,12959442,25.3,7.1125863023418265,583.0367899364129,,30163,26,15,0,16,0,583.0365572,O16,19.0,-13.321977677164627,0.39917979426862266,,True
2601,577.00284,4065342,6.3,6.609097086821868,577.010697451191,,29329,23,13,0,18,0,577.0107364,O18,17.0,-13.685013990061437,-0.06750101260723296,,True
2603,577.03919,26413253,53.8,7.421821891284539,577.0470483089414,,29339,24,17,0,17,0,577.0471218,O17,16.0,-13.745497898524006,-0.1273571184266855,,True
2604,577.05449,4577224,7.4,6.6606021664328745,577.0623486699817,,29345,28,17,0,14,0,577.062378,O14,20.0,-13.669232825952676,-0.05082642602074582,,True
2605,577.07555,35881164,73.9,7.554866523295612,577.0834091669493,,29354,25,21,0,16,0,577.0835072,O16,15.0,-13.78864566511798,-0.16987671533363374,,True
2606,577.11196,20762835,41.8,7.317286652682942,577.1198200261587,,29371,26,25,0,15,0,577.1198926,O15,14.0,-13.7451508806365,-0.12575175838582436,,True
2607,577.1483,16477403,32.7,7.216888763693261,577.1561608837377,,29388,27,29,0,14,0,577.156278,O14,13.0,-13.822945888658847,-0.20291949825244257,,True
2608,577.18477,14111458,27.6,7.149571887506454,577.1926317444062,,29403,28,33,0,13,0,577.1926634,O13,12.0,-13.675503000264273,-0.054844068258443575,,True
2609,577.22106,6789865,12.1,6.83186113947374,577.2289226008484,,29417,29,37,0,12,0,577.2290488,O12,11.0,-13.839913317995512,-0.21862924585205137,,True
2611,579.03357,6636863,11.8,6.821962852905248,579.0414754032005,,29611,27,15,0,15,0,579.0416426,O15,20.0,-13.94131165375933,-0.28874745314600125,,True
2612,579.05475,33030723,68.1,7.518918079942517,579.0626559036795,,29618,24,19,0,17,0,579.0627718,O17,15.0,-13.853074987021095,-0.20014465812419113,,True
2613,579.06987,9248582,17.4,6.966075151465231,579.0777762609664,,29624,28,19,0,14,0,579.078028,O14,19.0,-14.087911482596171,-0.4347238566184984,,True
2614,579.09098,32058953,66.1,7.505949334807037,579.0988867598037,,29632,38,15,2,5,0,579.0986446,N2O5,32.0,-13.235396199713788,0.4181667596795468,,True
2615,579.12745,20191824,40.7,7.305175552096433,579.1353576216205,,29650,26,27,0,15,0,579.1355426,O15,13.0,-13.973585464506625,-0.3194042946305204,,True
2616,579.16395,16288343,32.4,7.211876906128107,579.1718584841678,,29666,27,31,0,14,0,579.171928,O14,12.0,-13.774838893745653,-0.12002624570880027,,True
2617,579.20031,11908189,23.1,7.075845718904289,579.2082193434279,,29681,28,35,0,13,0,579.2083134,O13,11.0,-13.817826531228924,-0.16238815960065545,,True
3886,580.20377,5488911,9.4,6.739486188966667,580.2117030656002,,2617,28,35,0,13,0,580.2116684,O13,11.0,-13.612963044720118,0.05974647199391607,1C13,True
2618,581.01276,5477527,9.3,6.738584526976168,581.0207122021717,,29881,26,13,0,16,0,581.0209072,O16,20.0,-14.022214861966484,-0.33561241239348905,,True
2619,581.04926,9473437,17.9,6.9765075713293845,581.0572130658215,,29891,27,17,0,15,0,581.0572926,O15,19.0,-13.824110121802176,-0.13687837576869638,,True
2620,581.0703,34063265,70.3,7.532286273207446,581.0782535636721,,29900,24,21,0,17,0,581.0784218,O17,14.0,-13.977115128225657,-0.2895243079025379,,True
2621,581.08546,9675939,18.3,6.985693121776769,581.0934139223939,,29907,41,13,2,3,0,581.0931654,N2O3,36.0,-13.260180051609066,0.427680806994883,,True
2622,581.10663,23700391,48.2,7.37475551089372,581.1145844233326,,29917,25,25,0,16,0,581.1148072,O16,13.0,-14.07157397929293,-0.3833608515364241,,True
2623,581.14299,14836141,29.3,7.171320952132372,581.1509452837242,,29933,26,29,0,15,0,581.1511926,O15,12.0,-14.114399323854165,-0.42556270872940327,,True
2624,581.17944,9559475,18.0,6.9804340417673325,581.1873961462666,,29949,27,33,0,14,0,581.187578,O14,11.0,-14.002363966613963,-0.3129002414185918,,True
2625,582.10164,4048454,6.3,6.607289209029102,582.109617975967,,30068,37,16,3,5,0,582.1095436,N3O5,31.0,-13.577513179388713,0.12776970894582756,,True
2626,583.01329,4818895,7.9,6.682947463462985,583.021289569169,,30159,22,15,0,19,0,583.021301,O19,15.0,-13.74049281950751,-0.019606197926999306,,True
2653,589.03876,21229492,42.9,7.326939602068193,589.0469026132052,,31004,25,17,0,17,0,589.0471218,O17,17.0,-14.195468733361972,-0.3721040077338114,,True
2654,589.05995,7516086,13.7,6.875991740708925,589.0680931172378,,31012,22,21,0,19,0,589.068251,O19,12.0,-14.091745711948164,-0.2680211706227872,,True
2655,589.07515,26062775,53.3,7.416020654777399,589.0832934787945,,31019,26,21,0,16,0,589.0835072,O16,16.0,-14.186783194288754,-0.3628029011893051,,True
2656,589.09618,9937849,18.8,6.997292393600399,589.1043239790329,,31026,36,17,2,7,0,589.1041238,N2O7,29.0,-13.48454318869755,0.3398024640427267,,True
3898,596.16194,4284657,6.8,6.631916061038772,596.1702524256607,,2682,27,31,0,15,0,596.1701976,O15,12.0,-13.851078154082956,0.09196310191528584,1C13,True
2684,597.06468,20035112,40.6,7.30179177456238,597.073013999682,,32146,37,13,2,7,0,597.0728238,N2O7,32.0,-13.639542239176372,0.31855357394050815,,True
2685,597.07958,12400169,24.2,7.093427604135403,597.0879143558665,,32154,41,13,2,4,0,597.08808,N2O4,36.0,-14.235755635963082,-0.27741993026751116,,True
2686,597.10087,16460330,32.9,7.216438537786481,597.1092048648096,,32163,38,17,2,6,0,597.1092092,N2O6,31.0,-13.965954420960694,-0.007260297329353099,,True
2687,597.11595,7019051,12.7,6.846278397981114,597.1242852253049,,32171,42,17,2,3,0,597.1244654,N2O3,35.0,-14.260678457146259,-0.30173725161267956,,True
2688,597.13735,10490413,20.1,7.020792586390915,597.1456857368887,,32180,39,21,2,5,0,597.1455946,N2O5,30.0,-13.806683118100349,0.1526208843395286,,True
2689,597.17366,9869359,18.8,6.994288946813206,597.181996604923,,32196,40,25,2,4,0,597.18198,N2O4,29.0,-13.932101567954877,0.027805465723609233,,True
3899,598.083,4400227,7.1,6.643475081555378,598.0913583499688,,2685,41,13,2,4,0,598.091435,N2O4,36.0,-14.10319477334899,-0.12815771429091327,1C13,True
3900,598.10438,5721956,9.9,6.757544513897298,598.1127388613714,,2686,38,17,2,6,0,598.1125642000001,N2O6,31.0,-13.683377494368575,0.2920209034707579,1C13,True
2690,599.02305,9868950,18.8,6.994270948671305,599.031430841824,,32423,26,15,0,17,0,599.0314718,O17,19.0,-14.05902760775609,-0.06837399688490968,,True
2691,599.04401,12392087,24.2,7.093144453773688,599.0523913434613,,32429,23,19,0,19,0,599.052601,O19,14.0,-14.340977713280969,-0.3499801826024144,,True
2692,599.05944,19177112,38.8,7.282783204664621,599.0678217127528,,32434,27,19,0,16,0,599.0678572,O16,18.0,-14.050495113182857,-0.05923744169107117,,True
2693,599.08044,19989145,40.5,7.300794218344069,599.0888222153584,,32442,24,23,0,18,0,599.0889864,O18,13.0,-14.26566035098818,-0.2740571856426886,,True
2694,599.0955,13445786,26.5,7.128586194843834,599.1038825758023,,32449,41,15,2,4,0,599.10373,N2O4,35.0,-13.737187047768737,0.25467343076556215,,True
2695,599.11724,10470555,20.1,7.019969702409431,599.12562309613,,32459,25,27,0,17,0,599.1253718,O17,12.0,-13.572785234532812,0.41943830416778966,,True
2696,599.13231,8213148,15.2,6.9145096488353746,599.1406934568209,,32467,29,27,0,14,0,599.140628,O14,16.0,-13.88321808153383,0.10925118058991673,,True
2697,599.15352,9506973,18.0,6.978042260506401,599.1619039644746,,32476,26,31,0,16,0,599.1617572,O16,11.0,-13.74787342661401,0.24494966984043154,,True
2698,599.16846,5661086,9.8,6.752899752489566,599.1768443220619,,32483,30,31,0,13,0,599.1770134,O13,15.0,-14.275247228605554,-0.28218361896134686,,True
2699,599.18961,6094495,10.7,6.784937725081609,599.1979948282905,,32492,27,35,0,15,0,599.1981426,O15,10.0,-14.240030790053396,-0.24661576699836354,,True
2700,599.20481,4587168,7.5,6.66154464598262,599.2131951921085,,32498,31,35,0,12,0,599.2133988,O12,14.0,-14.33345785874934,-0.33979195382318705,,True
2702,601.05934,10353916,19.8,7.015104637284386,601.0677696055703,,32721,36,13,2,8,0,601.0677384,N2O8,31.0,-13.972468431575995,0.05191689436494659,,True
2703,601.0746,21431037,43.6,7.331043186089963,601.0830299712273,,32728,40,13,2,5,0,601.0829946,N2O5,35.0,-13.965791871321327,0.05884582937571365,,True
2705,601.11079,16213247,32.4,7.209869998992173,601.1192208384182,,32744,41,17,2,4,0,601.11938,N2O4,34.0,-14.290006753777464,-0.26477532930567405,,True
2706,601.13204,4460032,7.2,6.649337974715183,601.1404713476228,,32753,38,21,2,6,0,601.1405092,N2O6,29.0,-14.08855312596845,-0.0629676034552908,,True
3902,602.07796,6784044,12.2,6.831488656007979,602.0864140206982,,2703,40,13,2,5,0,602.0863496000001,N2O5,35.0,-13.934213930732954,0.10699577915674308,1C13,True
3897,596.08924,6388204,11.3,6.805378776386246,596.0975506887618,,2679,25,23,0,17,0,596.0974268000001,O17,14.0,-13.733996544890859,0.2078330757587041,1C13,True
3882,576.13593,4932370,8.1,6.693055647593431,576.1437670011287,,2598,27,27,0,14,0,576.143983,O14,14.0,-13.977408838127314,-0.3749043255046225,1C13,True
2683,595.19498,9120178,17.2,6.960003314607297,595.2032693299909,,31918,28,35,0,14,0,595.203228,O14,11.0,-13.857451727362765,0.06943845228882818,,True
2681,595.12223,20696493,42.0,7.315896760926379,595.1305175929205,,31886,26,27,0,16,0,595.1304572,O16,13.0,-13.824195855789721,0.10147845686781888,,True
2657,589.11129,19919803,40.1,7.2992850390858734,589.119434338457,,31034,40,17,2,4,0,589.11938,N2O4,33.0,-13.732361002832155,0.09223675015059082,,True
2658,589.13255,4457661,7.2,6.649107037803393,589.140694844178,,31043,37,21,2,6,0,589.1405092,N2O6,28.0,-13.509850155724633,0.31511019040940763,,True
2659,589.14781,12175295,23.6,7.085479492705567,589.1559552071787,,31051,41,21,2,3,0,589.1557654,N2O3,32.0,-13.503050410615048,0.32216807497463973,,True
2660,589.18437,9112002,17.1,6.959613806394668,589.192516076872,,31068,29,33,0,13,0,589.1926634,O13,13.0,-14.075871128829988,-0.2500423666613687,,True
2661,590.07011,4692760,7.7,6.671428343826617,590.0782771531361,,31181,38,12,3,5,0,590.0782436,N3O5,34.0,-13.783934737754162,0.05686218148347538,,True
2663,591.01794,8350831,15.5,6.921729694735957,591.0261297199348,,31278,24,15,0,18,0,591.0263864,O18,17.0,-14.291070913894613,-0.43429544104249407,,True
2664,591.05457,28687474,59.1,7.457692309272216,591.062760592326,,31290,25,19,0,17,0,591.0627718,O17,16.0,-13.876360331340997,-0.018961901387054166,,True
2665,591.06967,5818227,10.1,6.764790661380653,591.0778609519579,,31296,29,19,0,14,0,591.078028,O14,20.0,-14.1402650819628,-0.2826158886725828,,True
2666,591.09082,28343413,58.4,7.452452145058232,591.0990114556865,,31305,26,23,0,16,0,591.0991572,O16,15.0,-14.104570947996155,-0.24656491508115932,,True
3892,591.10467,4346999,7.0,6.638189540284112,591.1128617855551,,10596,27,23,0,15,0,591.1127354,O15,16.0,-13.644436191188225,0.2138095620250102,2O18,True
2667,591.1273,19216505,38.8,7.2836744032474,591.135492324545,,31322,27,27,0,15,0,591.1355426,O15,14.0,-13.94367180792973,-0.08504894628509203,,True
2668,591.16372,12722812,24.9,7.10458310982766,591.1719131919942,,31339,28,31,0,14,0,591.171928,O14,13.0,-13.884285790998852,-0.02504856039827252,,True
2669,591.2001,9687679,18.4,6.986219740081496,591.2082940585105,,31354,29,35,0,13,0,591.2083134,O13,12.0,-13.892565131056267,-0.03271518510015794,,True
2670,591.23633,6149762,10.8,6.788858308606838,591.2445249214736,,31368,30,39,0,12,0,591.2446988,O12,11.0,-14.15454551570649,-0.29408893944934916,,True
2671,593.06977,28387609,58.5,7.45312881479301,593.0780086177748,,31577,38,13,2,6,0,593.0779092,N2O6,33.0,-13.723660709353036,0.16763021052524202,,True
2672,593.08487,5597722,9.6,6.7480113262730645,593.0931089778596,,31585,42,13,2,3,0,593.0931654,N2O3,37.0,-13.986672725114106,-0.09513200225205733,,True
2673,593.10639,20526364,41.6,7.312312026107717,593.1146294910461,,31595,26,25,0,16,0,593.1148072,O16,14.0,-14.191518906223388,-0.2996198235132873,,True
2674,593.14259,13671198,26.9,7.135806573235892,593.1508303543213,,31611,40,21,2,4,0,593.15068,N2O4,31.0,-13.639030136363761,0.2534841928580626,,True
2675,593.17879,10006305,19.1,7.00027373638451,593.1870312176158,,31627,41,25,2,3,0,593.1870654,N2O3,30.0,-13.950742493722393,-0.05762496569991782,,True
3895,594.11007,7035494,12.7,6.847294597000591,594.1183334333468,,2673,26,25,0,16,0,594.1181622,O16,14.0,-13.620522843659776,0.28821429422530953,1C13,True
2676,595.02841,7606695,13.9,6.881196003020825,595.0366953528705,,31848,27,15,0,16,0,595.0365572,O16,20.0,-13.691931867643246,0.2321754334568843,,True
2677,595.04961,23458216,47.9,7.370294980890505,595.0578958590313,,31853,24,19,0,18,0,595.0576864,O18,15.0,-13.57246563572203,0.35199785857108695,,True
2678,595.06483,9686953,18.4,6.986187192594245,595.0731162224206,,31859,28,19,0,15,0,595.0729426,O15,19.0,-13.632950549823944,0.2917666190684477,,True
2679,595.08591,26203563,53.8,7.418360348038519,595.0941967257276,,31868,25,23,0,17,0,595.0940718,O17,14.0,-13.7151425073883,0.2099260157759945,,True
2680,595.10107,5047468,8.5,6.703073574278881,595.1093570876924,,31876,29,23,0,14,0,595.109328,O14,18.0,-13.876441876164384,0.04887789690761736,,True
2682,595.15853,11653552,22.6,7.0664583183990874,595.1668184596554,,31902,27,31,0,15,0,595.1668426,O15,12.0,-13.966839892558587,-0.04056063427494204,,True
3903,602.1142,4599853,7.5,6.662743952918762,602.1226548895955,,2705,41,17,2,4,0,602.122735,N2O4,34.0,-14.174850913164233,-0.13304663624225385,1C13,True
3881,576.09971,7277834,13.1,6.862002145547253,576.107546146981,,2596,26,23,0,15,0,576.1075976000001,O15,15.0,-13.691192466435448,-0.08931147459754249,1C13,True
3879,576.0271,4438012,7.1,6.6471884721922345,576.0349344347417,,2591,24,15,0,17,0,576.0348268,O17,17.0,-13.413772293811535,0.1868545731007411,1C13,True
2522,559.17445,11888750,22.7,7.075136194682583,559.1818894430098,,26991,28,31,0,12,0,559.1820988,O12,13.0,-13.678549467846313,-0.37439859139899323,,True
2523,559.21082,10782324,20.3,7.0327123778819685,559.2182602901046,,27006,29,35,0,11,0,559.2184842,O11,12.0,-13.705197908445658,-0.40039787986194253,,True
2524,559.24748,4589434,7.3,6.661759128710758,559.2549211439778,,27020,30,39,0,10,0,559.2548696,O10,11.0,-13.213295764944792,0.09216545183447569,,True
2525,560.0966,5363214,9.0,6.729425126287122,560.1040609281745,,27102,38,14,3,3,0,560.1040644,N3O3,33.0,-13.32680920285691,-0.006198536512104573,,True
3862,560.17782,5741853,9.7,6.7590520697163825,560.18528282125,,2522,28,31,0,12,0,560.1854538,O12,13.0,-13.627272804433172,-0.30521811814380145,1C13,True
2526,561.00813,10186164,19.1,7.008010664155265,561.0156121808824,,27187,23,13,0,17,0,561.0158218,O17,17.0,-13.710486765410947,-0.3736420783429208,,True
2527,561.04466,40135611,82.0,7.603529878796749,561.052143032904,,27197,24,17,0,16,0,561.0522072,O16,16.0,-13.451867585801965,-0.11436920688169944,,True
2528,561.06594,10673086,20.1,7.0282900088336575,561.0734235292473,,27205,21,21,0,18,0,561.0733364,O18,11.0,-13.1825904391016,0.15529030097144214,,True
2529,561.08115,34724801,70.6,7.5406397655730935,561.0886338840165,,27213,25,21,0,15,0,561.0885926,O15,15.0,-13.264571937744128,0.073578427908488,,True
2531,561.11766,22847432,45.7,7.358837393425388,561.1251447356193,,27230,26,25,0,14,0,561.124978,O14,14.0,-13.041657896139458,0.29714524532470227,,True
2532,561.15383,20758479,41.3,7.317195529036416,561.161315579315,,27246,27,29,0,13,0,561.1613634,O13,13.0,-13.424659093442934,-0.08521735129899087,,True
2521,559.15898,4162411,6.4,6.619344960599154,559.1664190827049,,26984,37,23,2,4,0,559.16633,N2O4,27.0,-13.144568271794885,0.1593134280874458,,True
2533,561.19041,15321046,29.9,7.1852884165055055,561.197896432598,,27260,28,33,0,12,0,561.1977488,O12,12.0,-13.077030361667036,0.2630669818299132,,True
2535,561.26302,4283491,6.7,6.631797858746042,561.2705081264049,,27289,30,41,0,10,0,561.2705196,O10,10.0,-13.361827742716319,-0.020442183596903547,,True
3864,562.08434,9094015,16.8,6.958755666210838,562.0918472922455,,2529,25,21,0,15,0,562.0919476,O15,15.0,-13.534440463897635,-0.17845435251830352,1C13,True
3866,562.19337,5304980,8.8,6.7246837509317965,562.2008798374059,,2533,28,33,0,12,0,562.2011038,O12,12.0,-13.756287470484294,-0.3983674039010437,1C13,True
2538,563.09638,33133893,67.3,7.520272465434962,563.1039109250617,,27480,38,15,2,4,0,563.10373,N2O4,32.0,-13.052657278771132,0.32129970372133654,,True
2539,563.13269,22010189,43.9,7.342623771826617,563.1402217732968,,27497,39,19,2,3,0,563.1401154,N2O3,31.0,-13.185706002695218,0.18889312610049155,,True
