,m/z,intensity,S/N,log_intensity,mz_calibrated,mz_calibrated_Hline,tdb_index,C,H,N,O,S,theo,class,DBE,mz_E_ppm_BeforeCalibration,mz_E_ppm_AfterCalibration,isotope,track
2976,783.14976,3831998,6.1,6.583425273739182,783.1626897984669,,64351,33,35,0,22,0,783.1625448,O22,16.0,-16.32458049079452,0.1851447925730322,,False
3099,312.16945,3144985,6.5,6.497618578419519,312.1719245557617,,467,17,27,0,3,1,312.1719934,O3S1,4.0,-8.147431716518438,-0.22053303882987166,1C13,False
3100,313.01629,3356518,7.0,6.525888980518322,313.0187780725676,,10685,13,11,0,7,1,313.0188928,O7S1,8.0,-8.315153046177166,-0.36651919430029783,1S34,False
1853,455.09649,5295635,8.4,6.723918043850705,455.10162078936435,,15117,20,23,0,10,1,455.1017406,O10S1,9.0,-11.537200435859557,-0.26326121170850514,,False
2471,549.02382,5052435,8.2,6.703500734988349,549.0310239721065,,25634,26,13,0,14,0,549.031078,O14,20.0,-13.219652385468228,-0.09840589296792467,,False
3843,548.06926,14312953,27.4,7.155729245171262,548.0764419275692,,2462,24,19,0,15,0,548.0762976000001,O15,15.0,-12.84054798742557,0.26333481267470343,1C13,False
3371,381.10976,3697927,6.2,6.56795833359165,381.113427111174,,4112,15,23,0,9,1,381.113536,O9S1,4.0,-9.907808679921068,-0.28571230278074167,2C13,False
1155,381.09449,7783667,15.5,6.891184247718159,381.0981568274984,,8884,21,17,0,7,0,381.0979758,O7,13.0,-9.14672924369927,0.47501563889541804,,False
1845,455.03161,6924263,11.6,6.8403735550553995,455.0367394333205,,15092,20,11,2,11,0,455.0368322,N2O11,16.0,-11.476433621303496,-0.20386630907179043,,False
3592,456.00847,6365755,10.5,6.8038499198339,456.01361986288964,,1842,17,11,0,15,0,456.0136976,O15,12.0,-11.463690734565315,-0.1704709984999395,1C13,False
3594,456.0285,5086301,7.9,6.706402057524902,456.0336502820652,,6513,20,11,2,11,0,456.0338672,N2O11,16.0,-11.769301330448398,-0.47566189789960533,1N15,False
3595,456.04472,35731064,68.2,7.55304594882065,456.04987062151554,,1846,18,15,0,14,0,456.050083,O14,11.0,-11.759673333922978,-0.4656911430368911,1C13,False
3597,456.08121,32267956,61.4,7.508771456075245,456.086361385201,,1850,19,19,0,13,0,456.0864684,O13,10.0,-11.52939270145301,-0.23463708406666295,1C13,False
1862,456.08831,8317376,14.3,6.919986334888959,456.09346153379846,,15216,22,18,1,10,0,456.0936186,N1O10,14.0,-11.639277077214642,-0.3443727233775967,,False
3598,456.1176,22269680,41.7,7.347713976565575,456.1227521468304,,1855,20,23,0,12,0,456.1228538,O12,9.0,-11.518387987406115,-0.22286357440450646,1C13,False
3110,315.02527,3499562,7.4,6.544013692097,315.0277902574751,,6090,15,8,1,7,0,315.0276598,N1O7,12.0,-7.586000548397262,0.41411435171023486,1N15,False
1869,457.07584,8181287,14.0,6.912821628002943,457.0810122156788,,15303,19,21,0,11,1,457.0810052,O11S1,9.0,-11.300403957291591,0.015348874135043539,,False
3593,456.02371,8505429,14.7,6.929696223608084,456.028860181822,,1843,21,11,0,12,0,456.0289538,O12,16.0,-11.498831283235425,-0.20528998706650692,1C13,False
1870,457.08182,5398320,8.6,6.7322586249620855,457.0869923410006,,15306,33,13,0,3,0,457.0870174,O3,27.0,-11.370701424752212,-0.054823257751480926,,False
3095,312.0053,3193381,6.6,6.504250736994311,312.0077719391273,,455,12,7,0,10,0,312.0078246,O10,9.0,-8.09146374214103,-0.16878061561083463,1C13,False
1838,454.03633,7700341,13.1,6.886509957787961,454.0414386459107,,15014,21,12,1,11,0,454.0415832,N1O11,16.0,-11.569865391946093,-0.3183719170737987,,False
3394,386.07718,44157428,96.6,7.645003769477993,386.08093982280894,,1194,16,17,0,11,0,386.0809892,O11,8.0,-9.866323664034644,-0.1278933498775282,1C13,False
3393,386.07527,3897074,6.6,6.590738652517487,386.0790297869966,,4160,19,14,1,8,0,386.0791994,N1O8,13.0,-10.17770448682732,-0.4393217859000104,2C13,False
3578,450.10747,22717967,43.0,7.356369464354729,450.1124968595078,,1800,21,21,0,11,0,450.1122892,O11,11.0,-10.706661683483437,0.46135045137927366,1C13,False
3861,560.10459,7383056,13.2,6.868236162530382,560.1120511144002,,2519,39,15,2,3,0,560.1121704000001,N2O3,33.0,-13.533717709861902,-0.21296734156434896,1C13,False
1205,386.04792,13993933,29.2,7.14593979027071,386.0516792742013,,9239,18,12,1,9,0,386.051754,N1O9,13.0,-9.931310919624277,-0.19356419941890146,,False
3860,560.03262,7857155,14.2,6.895265320661849,560.0400794370122,,2516,24,15,0,16,0,560.0399122,O16,17.0,-13.020857694598623,0.2986162388594578,1C13,False
3391,386.04081,55488963,122.0,7.74420660862051,386.0445691408975,,1190,15,13,0,12,0,386.0446038,O12,9.0,-9.827361819433982,-0.08978004650517889,1C13,False
2485,553.00362,4665249,7.4,6.668874828455523,553.0109160666741,,26140,21,13,0,18,0,553.0107364,O18,15.0,-12.868466255126917,0.32488822048382154,,False
3579,450.18023,10690183,19.1,7.028985139746657,450.18525837017785,,1803,23,29,0,9,0,450.18506,O9,9.0,-10.72892112418559,0.44064140606354346,1C13,False
1197,385.09241,8442560,16.8,6.926474155783768,385.09615137518296,,9175,17,21,0,8,1,385.0962614,O8S1,7.0,-10.001135783632098,-0.2857073102900826,,False
3581,452.04203,21221006,40.0,7.326765968155935,452.04709707653785,,8626,17,12,3,12,0,452.0468922,N3O12,13.0,-10.755963781385189,0.4532196579282131,1O18,False
1820,452.07854,24883402,47.3,7.395909755794695,452.08360783655047,,14830,19,18,1,12,0,452.0834478,N1O12,11.0,-10.855960384958447,0.35399781005386444,,False
3585,452.12305,26928404,51.3,7.430210614290339,452.1281187631465,,1817,21,23,0,11,0,452.1279392,O11,10.0,-10.813753312143142,0.39715118428787116,1C13,False
3704,490.06513,21218785,39.2,7.326720512322037,490.0710080733757,,2113,22,17,0,13,0,490.0708184,O13,14.0,-11.60730201926428,0.387032585045569,1C13,False
1836,453.18657,5070197,7.9,6.705024833958739,453.19166091977564,,14961,26,29,0,7,0,453.1918758,O7,12.0,-11.707623819618602,-0.47414844753983354,,False
2491,554.07107,6912402,12.0,6.839628987182784,554.0783908183457,,26311,35,12,3,5,0,554.0782436,N3O5,31.0,-12.94690791931926,0.2656995604394472,,False
1200,385.12874,3889777,6.6,6.589924704038937,385.1324820551556,,9187,18,25,0,7,1,385.1326468,O7S1,6.0,-10.144037469797688,-0.4277613070145074,,False
501,315.08101,4751404,10.9,6.676821958962929,315.0835311528337,,4755,12,15,2,8,0,315.0833884,N2O8,6.0,-7.548477919052943,0.45306366176664725,,False
1872,457.11207,6781666,11.3,6.831336396776646,457.1172429749596,,15318,20,25,0,10,1,457.1173906,O10S1,8.0,-11.639460911825918,-0.3229477667276625,,False
3602,458.02407,13918028,25.3,7.143577705864504,458.02926209993024,,1865,17,13,0,15,0,458.0293476,O15,11.0,-11.522405775204607,-0.18666941366615145,1C13,False
3826,535.11399,5244639,8.5,6.719715600117068,535.1208744915758,,5373,34,17,2,5,0,535.1210046,N2O5,27.0,-13.108437044610305,-0.24313832395798787,2C13,False
3824,534.16308,12084935,22.5,7.082244318854779,534.1699427916075,,2397,26,29,0,12,0,534.1698038000001,O12,12.0,-12.587383173289712,0.2602011690133372,1C13,False
3823,534.09032,12641497,23.6,7.1017985059355535,534.097181131967,,2395,24,21,0,14,0,534.097033,O14,14.0,-12.568877161297848,0.2773502899547144,1C13,False
3615,462.07085,23613826,44.3,7.373166358788609,462.0761272385035,,1902,21,17,0,12,0,462.0759038,O12,13.0,-10.937164129147295,0.4835536795128355,1C13,False
3616,462.07569,4723594,7.2,6.6742725622824866,462.0809673405986,,6528,20,17,2,11,0,462.08081719999996,N2O11,13.0,-11.095894503943395,0.32492281230021847,1N15,False
3617,462.09193,6717349,11.1,6.827197912663251,462.09720768317027,,1904,18,21,0,14,0,462.097033,O14,8.0,-11.043135176372404,0.37802270471967003,1C13,False
1912,462.09911,13895601,25.2,7.142877335232789,462.1043878346298,,15809,21,20,1,11,0,462.1041832,N1O11,12.0,-10.978476682239748,0.44283223828538854,,False
3612,460.12762,8661230,15.0,6.937579571495494,460.1328562996182,,1889,23,23,0,10,0,460.1330246,O10,12.0,-11.745733757576188,-0.3657646219762346,1C13,False
3618,462.10724,15828926,29.0,7.199451448779158,462.11251800613087,,1905,22,21,0,11,0,462.1122892,O11,12.0,-10.926348677659005,0.4951310237716994,1C13,False
1083,373.10079,4816941,8.9,6.682771326918263,373.10430945218786,,8317,18,17,2,7,0,373.1041238,N2O7,11.0,-8.935307297204305,0.49758814227841835,,False
3134,321.09363,4985062,11.2,6.6976705640700285,321.0962484824913,,9863,13,17,0,9,0,321.0962978,O9,5.0,-8.308410960393653,-0.15359102244712589,2O18,False
1919,463.06195,5828330,9.4,6.765544133544356,463.0672481580923,,15889,24,15,0,10,0,463.0670696,O10,17.0,-11.05584986732653,0.38559876958448125,,False
2381,531.011,4413950,6.7,6.644827409286197,531.0177909927482,,23386,30,11,0,8,1,531.0180114,O8S1,25.0,-13.203695259837144,-0.4150654911882676,,False
3621,464.04999,34530890,65.7,7.538207772010264,464.0553090396293,,1917,20,15,0,13,0,464.0551684,O13,13.0,-11.159018049272715,0.30306661553340114,1C13,False
1927,464.07831,22128761,41.3,7.344957098250494,464.0836296385425,,16001,20,18,1,12,0,464.0834478,N1O12,12.0,-11.070853796565787,0.39182294343561264,,False
3623,464.08644,21798534,40.7,7.3384272873147465,464.09175981048026,,1920,21,19,0,12,0,464.0915538,O12,12.0,-11.018946494784757,0.443900516143092,1C13,False
2393,533.02931,4552679,7.1,6.658267030180081,533.0361469428335,,23636,26,13,0,13,0,533.0361634,O13,20.0,-12.857288999379907,-0.030874390112177946,,False
1897,460.09438,4960567,7.7,6.6955313198163315,460.0996156002352,,15612,20,18,3,10,0,460.0997666,N3O10,13.0,-11.70746084009958,-0.3281891793043964,,False
3608,460.0598,7024509,11.7,6.8466159732685155,460.06503487269015,,6522,20,15,2,11,0,460.06516719999996,N2O11,14.0,-11.66617336546423,-0.28762731727566854,1N15,False
3830,538.08525,13197144,24.7,7.1204799555056635,538.0922024142492,,2414,23,21,0,15,0,538.0919476,O15,13.0,-12.446943370784354,0.473551500439732,1C13,False
1874,458.03111,11205464,20.0,7.049429844670044,458.03630224765107,,15401,20,12,1,12,0,458.0364978,N1O12,15.0,-11.762818085179365,-0.42693617185678134,,False
1135,379.10307,6319288,12.2,6.800668148679477,379.10669990217536,,8746,15,23,0,9,1,379.106826,O9S1,4.0,-9.90749768248663,-0.332618185692563,,False
3603,458.03927,11044965,19.6,7.04316434398917,458.04446241887456,,1866,21,13,0,12,0,458.0446038,O12,15.0,-11.644717470234955,-0.3086623535617128,1C13,False
3604,458.06041,30151560,57.2,7.479309786853119,458.06560286246963,,1868,18,17,0,14,0,458.065733,O14,10.0,-11.62060293218355,-0.2841023045726038,1C13,False
1876,458.10391,6896592,11.5,6.838634534037394,458.1091037752986,,15415,22,20,1,10,0,458.1092686,N1O10,13.0,-11.697209306413729,-0.35979342203281806,,False
1882,459.06089,4729348,7.2,6.67480127191754,459.06610387032157,,15495,32,11,0,4,0,459.066282,O4,27.0,-11.74558056526776,-0.3880260550949373,,False
1123,378.11577,10640991,21.9,7.026982075871618,378.11938164704605,,8675,18,20,1,8,0,378.1194394,N1O8,9.0,-9.704341056363038,-0.1527373308631017,,False
1122,378.09064,4212540,7.4,6.624544037724332,378.09425118284116,,8669,16,16,3,8,0,378.0942874,N3O8,10.0,-9.646800074814081,-0.09578869617743578,,False
3363,378.05109,30656261,67.2,7.486519184892489,378.05470045231294,,1113,17,13,0,10,0,378.0547746,O10,11.0,-9.74620676034042,-0.19612948178935763,1C13,False
1120,378.04301,29424890,64.4,7.468714847981664,378.046620303074,,8659,16,12,1,10,0,378.0466686,N1O10,11.0,-9.677641158809816,-0.12775387268116023,,False
3362,378.01461,10164434,20.9,7.007083200237163,378.0182197785396,,1111,16,9,0,11,0,378.0183892,O11,12.0,-9.99739723772349,-0.4481831181361367,1C13,False
3118,317.0376,4010774,8.7,6.60322819094745,317.0401526627735,,7317,12,11,0,10,0,317.040016,O10,7.0,-7.620489143498,0.43105843621255263,1O18,False
1119,378.00657,5436103,10.2,6.735287676888245,378.0101796300498,,8653,15,8,1,11,0,378.0102832,N1O11,12.0,-9.823013195723737,-0.27398712370996203,,False
1118,377.12394,5050618,9.4,6.703344522191658,377.12753334271713,,8611,16,25,0,8,1,377.1275614,O8S1,4.0,-9.602586420738586,-0.07439732794210525,,False
1117,377.11802,4719858,8.7,6.673928932798471,377.121613233567,,8609,23,21,0,3,1,377.1216884,O3S1,13.0,-9.727364171349315,-0.19931612335273052,,False
1886,459.09129,9211319,16.0,6.964321822749143,459.09650450908566,,15508,19,23,0,11,1,459.0966552,O11S1,8.0,-11.68642798679126,-0.32823352690048935,,False
1890,459.12765,7859955,13.4,6.8954200596135005,459.1328652731144,,15522,20,27,0,10,1,459.1330406,O10S1,7.0,-11.740823515889563,-0.3818651024707046,,False
1207,386.08419,8994558,18.0,6.953979826616822,386.0879499542466,,9247,19,16,1,8,0,386.0881394,N1O8,12.0,-10.229270461786239,-0.49068006514419304,,False
3624,464.15912,17446142,32.1,7.241699403022618,464.16444134763674,,1924,23,27,0,10,0,464.1643246,O10,10.0,-11.212839341968712,0.25152221005641295,1C13,False
2530,561.1025,8649669,15.9,6.936999488479384,561.1099843820065,,27222,22,25,0,17,0,561.1097218,O17,10.0,-12.870566521032275,0.4679690910409573,,False
1208,386.10548,10237467,20.8,7.010192514842614,386.10924035344516,,9251,16,20,1,10,0,386.1092686,N1O10,7.0,-9.812248262633746,-0.07315689403269202,,False
1727,440.07843,26063866,50.3,7.41603883416785,440.0832500860488,,13709,18,18,1,12,0,440.0834478,N1O12,10.0,-11.401928486622534,-0.44926468419441296,,False
1728,440.11486,13721141,25.5,7.137390227216217,440.1196808318638,,13717,19,22,1,11,0,440.1198332,N1O11,9.0,-11.299649833628319,-0.3461969326253504,,False
3551,440.19585,5188792,8.4,6.715066261740836,440.20067249007496,,1723,22,31,0,9,0,440.20071,O9,7.0,-11.04041835827084,-0.08521095990615687,1C13,False
3043,296.01082,3914409,9.1,6.592666201281885,296.01304240563513,,309,12,7,0,9,0,296.01291,O9,9.0,-7.060502867773071,0.44729682619712113,1C13,False
1735,441.08115,6742352,11.5,6.82881142211955,441.0859906284743,,13796,19,21,0,10,1,441.0860906,O10S1,9.0,-11.200987982361987,-0.22664855640611103,,False
1737,441.11761,7646603,13.3,6.883468542865143,441.12245137597375,,13811,20,25,0,9,1,441.122476,O9S1,8.0,-11.03095005295697,-0.055821291347429164,,False
3887,584.05278,5871459,10.2,6.768746032579208,584.0608042063324,,2628,23,19,0,18,0,584.0610414,O18,14.0,-14.144754425384981,-0.4061110925830969,1C13,False
1725,440.0534,6112850,10.2,6.786243738997444,440.05821957364344,,13704,16,14,3,12,0,440.0582958,N3O12,11.0,-11.125344179878278,-0.173218769609202,,False
2635,583.19538,5273578,8.9,6.722105373920814,583.203383883695,,30233,27,35,0,14,0,583.203228,O14,10.0,-13.45671564075639,0.26728880693933826,,False
1739,442.03667,11247710,20.6,7.051064110394155,442.0415302312752,,13885,20,12,1,11,0,442.0415832,N1O11,15.0,-11.114791428463645,-0.11982747053843441,,False
1291,395.08471,4096659,6.9,6.6124298154098815,395.08864009938316,,9925,20,15,2,7,0,395.0884738,N2O7,14.0,-9.526473814335654,0.4209168179015285,,False
3553,442.05786,19538561,37.2,7.290892575105762,442.06272066629674,,8546,16,14,3,12,0,442.0625422,N3O12,11.0,-10.591713961307088,0.4037127775112083,1O18,False
1741,442.09412,16319676,30.7,7.212711532309452,442.09898141072915,,13896,18,20,1,12,0,442.0990978,N1O12,9.0,-11.259466542177657,-0.2632651172741919,,False
1742,442.13052,4609399,7.2,6.663644303264064,442.13538215807444,,13904,19,24,1,11,0,442.1354832,N1O11,8.0,-11.225518395625008,-0.2285315913656541,,False
1749,443.06042,9171424,16.4,6.962436771583772,443.06530126335605,,13974,18,19,0,11,1,443.0653552,O11S1,9.0,-11.13876303361477,-0.12173518718654903,,False
3416,394.15513,16711235,34.5,7.223008546474227,394.1590423994529,,1279,20,25,0,8,0,394.1588454,O8,8.0,-9.426148983824852,0.49979711275130256,1C13,False
3552,442.00833,4097968,6.2,6.612568562782189,442.01318964948774,,1731,20,9,0,12,0,442.0133038,O12,16.0,-11.252602483355675,-0.25825130441377264,1C13,False
3885,580.13116,6647298,11.8,6.822645148738727,580.1390913485303,,2615,26,27,0,15,0,580.1388976000001,O15,13.0,-13.337495610191455,0.3339692116010241,1C13,False
3550,440.04219,18467776,35.1,7.266414598251102,440.04700934416223,,8531,16,12,3,12,0,440.0468922,N3O12,12.0,-10.685679374960467,0.2662083616729893,1O18,False
1724,440.02107,4318237,6.6,6.635306474257508,440.0258889118222,,13699,20,10,1,11,0,440.0259332,N1O11,16.0,-11.052075873396296,-0.10064901732886665,,False
3896,596.05298,6716138,12.0,6.827119611233546,596.0612898224911,,2677,24,19,0,18,0,596.0610414,O18,15.0,-13.524453772452386,0.4167735748287087,1C13,False
3433,398.18596,3693383,6.0,6.5674243458751596,398.18994935918664,,1323,20,29,0,8,0,398.1901454,O8,6.0,-10.51105871989523,-0.4923296460970295,1C13,False
3894,594.07299,8361316,15.6,6.922274637075227,594.0812525485575,,2671,38,13,2,6,0,594.0812642000001,N2O6,33.0,-13.9277241998461,-0.01961254008083931,1C13,False
3540,438.03461,27364128,53.6,7.437181613237809,438.03938830631756,,1698,18,13,0,13,0,438.0395184,O13,12.0,-11.205381692414564,-0.2969907439697221,1C13,False
1710,438.03768,5344933,8.8,6.727942265594813,438.04245836898224,,13521,16,12,3,12,0,438.0426458,N3O12,12.0,-11.336339161476868,-0.4278830373279689,,False
3893,592.09449,7142987,12.9,6.853879859723674,592.1027053677399,,2666,26,23,0,16,0,592.1025122000001,O16,15.0,-13.548667392634835,0.3262403651403047,1C13,False
1712,438.06296,28360526,55.7,7.452714281404507,438.0677388850063,,13525,18,16,1,12,0,438.0677978,N1O12,11.0,-11.04349606228562,-0.13448830066313638,,False
3549,440.03395,4513330,7.0,6.654497088880096,440.03876917548257,,6472,20,11,2,10,0,440.03895259999996,N2O10,16.0,-11.368539013186403,-0.4168370011436471,1N15,False
3541,438.07108,32555867,64.2,7.512629265596047,438.07585905075854,,1702,19,17,0,12,0,438.0759038,O12,11.0,-11.0113337852045,-0.10214951579288613,1C13,False
3542,438.10741,28897173,56.8,7.4608553579623065,438.11218979238083,,1706,20,21,0,11,0,438.1122892,O11,10.0,-11.136870889685277,-0.2268998648045596,1C13,False
1714,438.13573,6827970,11.8,6.834291604290517,438.14051037051803,,13541,20,24,1,10,0,438.1405686,N1O10,9.0,-11.043487745112992,-0.13290137033226943,,False
3891,590.11457,6032540,10.5,6.780500210269457,590.1227382113782,,2657,40,17,2,4,0,590.122735,N2O4,33.0,-13.836104789415309,0.005441881775958359,1C13,False
2662,590.10675,5364764,9.1,6.729550621781545,590.1149180252436,,31188,39,16,3,4,0,590.114629,N3O4,33.0,-13.351643244896804,0.48977813689541333,,False
3545,439.03542,5805417,9.6,6.763833420335508,439.04021874950087,,8519,18,13,0,13,0,439.0404098,O13,12.0,-11.365240849482674,-0.43515470305176424,1O18,False
1719,439.06559,4806297,7.6,6.681810604061678,439.07038936623064,,13607,19,19,0,10,1,439.0704406,O10S1,10.0,-11.047430096567254,-0.11668690169801686,,False
3548,440.01379,11281298,20.6,7.052359071438675,440.018608762799,,1715,17,11,0,14,0,440.018783,O14,12.0,-11.347242874432308,-0.39597673494885594,1C13,False
1713,438.09932,17910664,34.4,7.253111686697191,438.10409962723224,,13533,19,20,1,11,0,438.1041832,N1O11,10.0,-11.100555955716912,-0.19076003147862794,,False
3884,580.05826,8179445,15.1,6.912723836481263,580.0661896246874,,2612,24,19,0,17,0,580.0661268,O17,15.0,-13.561902060004861,0.10830607829853564,1C13,False
1752,443.13313,4564566,7.1,6.659399491012617,443.1380127582805,,14003,20,27,0,9,1,443.138126,O9S1,7.0,-11.27413712988792,-0.25554497081425653,,False
3053,299.03058,2941822,6.1,6.468616391451861,299.03284868676815,,6038,15,8,1,6,0,299.03274519999997,N1O6,12.0,-7.240678603712311,0.3460716922930237,1N15,False
1217,388.04833,13772885,28.7,7.139024921255093,388.0521268485079,,9389,14,14,1,12,0,388.0521478,N1O12,8.0,-9.838368429664154,-0.05399143445716152,,False
1216,388.02722,13735993,28.6,7.137860060832087,388.0310164512751,,9386,17,10,1,10,0,388.0310186,N1O10,13.0,-9.789423571566731,-0.00553750804880687,,False
1215,387.99069,3714056,6.2,6.569848447682608,387.9944857639159,,9381,16,6,1,11,0,387.9946332,N1O11,14.0,-10.163027172607423,-0.3799951635300695,,False
1214,387.10819,4971364,9.0,6.696475563059317,387.111969172448,,9329,17,23,0,8,1,387.1119114,O8S1,6.0,-9.613240746220134,0.1492396548117329,,False
3868,564.13573,4548759,7.2,6.6578929278735375,564.1432852144129,,2539,39,19,2,3,0,564.1434704000001,N2O3,31.0,-13.720623221277743,-0.32825973688059756,1C13,False
3867,564.09961,8283920,15.1,6.918235896145327,564.1071643699792,,2538,38,15,2,4,0,564.1070850000001,N2O4,32.0,-13.251030165864943,0.14070019890282698,1C13,False
3398,387.04166,6846474,13.2,6.835466963229887,387.04543792273256,,4166,19,13,0,7,1,387.0454568,O7S1,13.0,-9.809700471419944,-0.04877274004611031,2C13,False
1218,388.0636,17053290,36.0,7.23180817752256,388.0673971358573,,9393,18,14,1,9,0,388.067404,N1O9,12.0,-9.802420818632736,-0.01768801672742521,,False
2537,563.08158,4888770,8.0,6.689199605666271,563.0891105793266,,27473,21,23,0,18,0,563.0889864,O18,10.0,-13.15316083035813,0.22053233092671784,,False
3865,562.15733,4851213,7.9,6.6858503434147325,562.1648389960767,,2532,27,29,0,13,0,562.1647184000001,O13,13.0,-13.14276716103796,0.21452089159221688,1C13,False
1806,450.06299,24575942,46.7,7.390510173403921,450.0680159360716,,14639,19,16,1,12,0,450.0677978,N1O12,12.0,-10.682390572002147,0.4846738040132136,,False
3863,562.04818,12335224,23.6,7.091147040415187,562.0556864481849,,2527,24,17,0,16,0,562.0555622,O16,16.0,-13.134288665619493,0.22106032433618114,1C13,False
1209,386.99304,3640137,6.0,6.561117729040366,386.99681700953903,,9290,21,7,0,6,1,386.9968822,O6S1,18.0,-9.928245359926658,-0.1684521606896334,,False
416,306.13245,3332353,7.1,6.522751000487417,306.13482906166735,,4303,16,20,1,5,0,306.1346956,N1O5,7.0,-7.335333212001472,0.4359573392970213,,False
3397,386.14987,7415511,14.5,6.870141083460653,386.1536311858309,,1201,18,25,0,9,0,386.15376,O9,6.0,-10.07370742668869,-0.3335825840516037,1C13,False
3396,386.11353,30109222,65.2,7.47869953380993,386.1172905043909,,1198,17,21,0,10,0,386.1173746,O10,7.0,-9.957075886476922,-0.21779804443704417,1C13,False
2536,563.03933,4612474,7.4,6.663933931104601,563.0468595923679,,27458,27,15,0,14,0,563.046728,O14,20.0,-13.139229183266249,0.2337148256957157,,False
1219,388.07482,6018169,11.3,6.779464379272605,388.0786173469992,,9395,17,14,3,8,0,388.0786374,N3O8,12.0,-9.836666160183327,-0.051672519117369205,,False
2550,566.10719,4915122,8.0,6.691534302080509,566.1147913389071,,27895,37,16,3,4,0,566.114629,N3O4,31.0,-13.140448274991222,0.28675978112344697,,False
2556,567.14332,4455311,7.1,6.648878025066424,567.1509456073996,,28031,29,27,0,12,0,567.1507988,O12,16.0,-13.186616356299464,0.2588507324650741,,False
3054,299.03749,7861730,20.4,6.895518124510318,299.0397587931193,,10671,13,13,0,6,1,299.0396282,O6S1,7.0,-7.150222908116631,0.4367084058217196,1S34,False
3557,444.08148,28400993,55.0,7.453333524796381,444.08638227049073,,1750,18,19,0,13,0,444.0864684,O13,9.0,-11.2329475337871,-0.1939476102047551,1C13,False
2610,578.07056,6959500,12.4,6.842578039173615,578.0784426551264,,29511,37,12,3,5,0,578.0782436,N3O5,33.0,-13.291626323973759,0.34433941888720165,,False
3558,444.09675,7300474,12.6,6.863351058600108,444.1016525848827,,1751,22,19,0,10,0,444.1017246,O10,13.0,-11.201487687322246,-0.16215905801835634,1C13,False
2602,577.01837,5072065,8.4,6.705184810520451,577.0262278176497,,29333,27,13,0,15,0,577.0259926,O15,21.0,-13.21015014530664,0.407637875400396,,False
3883,576.17276,4987801,8.2,6.69790911795688,576.1805978696837,,2599,28,31,0,13,0,576.1803684,O13,13.0,-13.204892803114419,0.39826015639650164,1C13,False
3560,445.04586,6161802,10.3,6.789707738822047,445.0507821392117,,8568,17,15,0,14,0,445.0509744,O14,10.0,-11.491717340610546,-0.4319972302332446,1O18,False
1261,392.05863,32755027,70.3,7.515277961757461,392.0625025874314,,9694,17,14,1,10,0,392.0623186,N1O10,11.0,-9.408198199724257,0.46928108790379197,,False
2592,575.03919,3941042,6.0,6.595611063201316,575.0470011471335,,29069,28,15,0,14,0,575.046728,O14,21.0,-13.108499941013086,0.47499989165792034,,False
2590,574.07579,6066281,10.5,6.782922523667177,574.0835784528007,,28968,38,12,3,4,0,574.083329,N3O4,34.0,-13.132239901823107,0.43452367980351814,,False
2579,572.08124,4642496,7.5,6.666751538221473,572.0889815172287,,28698,35,14,3,6,0,572.0888082,N3O6,30.0,-13.229064948586062,0.3029551115424147,,False
3876,572.06869,8956861,16.7,6.952155834524679,572.0764312221138,,2571,26,19,0,15,0,572.0762976000001,O15,17.0,-13.2982261842658,0.23357393807193258,1C13,False
3573,448.04018,7414974,12.7,6.870109632548982,448.04516400056883,,1780,16,15,0,15,0,448.0449976,O15,9.0,-10.752491436737593,0.3713925381051569,1C13,False
3574,448.09187,17671955,33.0,7.24728459697403,448.0968550707182,,1784,21,19,0,11,0,448.0966392,O11,12.0,-10.643239834536136,0.4817503621067116,1C13,False
3575,448.12817,16743247,31.2,7.223839684089682,448.1331558222907,,1788,22,23,0,10,0,448.1330246,O10,11.0,-10.832944089136397,0.29281995186034454,1C13,False
3576,448.16464,11959179,21.7,7.077701366273782,448.1696265774209,,1789,23,27,0,9,0,448.16940999999997,O9,10.0,-10.643296694325633,0.48324900382835795,1C13,False
3872,568.13076,6160997,10.7,6.789650997320635,568.1384087527013,,2555,38,19,2,4,0,568.1383850000001,N2O4,30.0,-13.421025935565833,0.04180794995522611,1C13,False
3395,386.09241,6491913,12.4,6.812372691087481,386.096170108374,,1196,20,17,0,8,0,386.0962454,O8,12.0,-9.933792534140073,-0.1950074026538265,1C13,False
1697,437.0213,4256202,6.6,6.629022231458874,437.0260576379248,,13412,20,9,2,10,0,437.0262676,N2O10,17.0,-11.366822473318777,-0.480433536277434,,False
3625,464.19559,6554682,10.8,6.816551626766715,464.2009121190183,,1925,24,31,0,9,0,464.20071,O9,9.0,-11.029711695256868,0.43541298826805586,1C13,False
3342,372.0599,4010796,7.2,6.603230573144103,372.06340042866054,,4029,18,12,1,8,0,372.0635494,N1O8,13.0,-9.80853944402017,-0.4003921902494183,2C13,False
3278,358.08273,39968610,93.7,7.601719044936945,358.0859787779559,,909,15,17,0,10,0,358.0860746,O10,7.0,-9.34021241604367,-0.26759500270742587,1C13,False
920,358.0746,21256022,48.8,7.327481990897595,358.07784863366487,,7289,14,16,1,10,0,358.0779686,N1O10,7.0,-9.407448364429625,-0.3350285291708587,,False
3277,358.06157,9566275,20.8,6.980742861301351,358.064818402414,,907,18,13,0,8,0,358.0649454,O8,12.0,-9.426781491304594,-0.35467751765600275,1C13,False
3677,482.09658,24549967,45.8,7.3900509126818985,482.1022849944754,,2054,21,21,0,13,0,482.1021184,O13,11.0,-11.4880225342267,0.34555848030917435,1C13,False
